UBI	NAICS	OPEN DATE	CLOSE DATE
601966982	561499	07/01/1999	OPEN
601989023	531390	12/06/1999	OPEN
601978421	722511	null	null
601987183	442210	10/11/1999	09/30/2009
601959136	999990	null	OPEN
601968026	236220	null	12/31/2000
601961624	337110	11/01/2001	09/30/2008
601987210	999990	09/17/1999	OPEN
601986654	null	null	OPEN
601978595	722513	null	null
601984510	999990	10/04/1999	OPEN
601983076	321912	08/01/2004	08/31/2004
601974474	null	null	OPEN
601980198	448310	09/23/1999	OPEN
601976012	453998	01/01/2000	12/31/2004
601973557	541330	01/01/1999	OPEN
601978733	531210	null	OPEN
601959639	236115	06/08/1999	OPEN
601981056	812910	04/01/2004	OPEN
601970356	722513	08/16/1999	04/30/2009
601975868	999990	08/23/1999	OPEN
601960156	999990	06/09/1999	OPEN
601987821	236115	null	02/26/2012
601961469	999990	06/14/1999	OPEN
601971831	999990	08/04/1999	OPEN
601966787	453310	null	null
601983121	999990	08/24/1999	OPEN
601986925	null	null	OPEN
601985973	812990	02/01/2002	11/05/2002
601985887	541519	null	null
601962906	999990	null	OPEN
601964428	999990	06/29/1999	OPEN
601984628	812990	04/20/2000	06/30/2004
601980536	236220	null	08/31/2004
601960735	999990	null	OPEN
601959485	236115	07/01/1999	12/31/2007
601964556	611519	07/01/1999	09/30/2000
601987920	453998	11/01/1999	OPEN
601970935	531312	08/01/1999	OPEN
601962203	999990	06/18/1999	OPEN
601975860	236220	05/01/2000	12/31/2005
601972552	233210	08/08/2001	12/31/2001
601962496	531311	null	OPEN
601972792	999990	null	OPEN
601969682	487210	01/01/2000	12/31/2001
601968197	561440	07/14/1999	10/01/2004
601977959	531210	08/26/1999	12/31/2007
601965106	523110	06/25/1999	OPEN
601973756	541350	08/12/1999	03/30/2002
601962591	561410	07/01/1999	OPEN
601972223	424990	12/01/1999	06/30/2001
601978655	453998	09/07/1999	12/31/2004
601972961	541512	08/01/1999	12/31/2009
601967892	523920	01/01/2000	OPEN
601985010	453998	08/19/1999	11/30/2003
601981752	999990	09/21/1999	OPEN
601984565	236115	09/16/2009	12/31/2012
601982553	561730	09/24/1999	OPEN
601976111	561499	08/01/1999	12/15/1999
601969581	999990	null	OPEN
601975287	541310	08/17/1999	09/30/2008
601973640	541511	08/05/1999	OPEN
601959040	721110	01/01/2002	01/19/2011
601969551	999990	null	OPEN
601984654	236118	null	OPEN
601982906	713940	03/01/2002	OPEN
601962927	813940	null	OPEN
601969503	541350	07/26/1999	OPEN
601973015	541512	01/01/1999	OPEN
601960319	551112	07/01/1999	OPEN
601964219	999990	null	OPEN
601975904	999990	07/29/1999	OPEN
601980102	531312	10/05/1999	OPEN
601959855	999990	06/15/1999	OPEN
601975275	999990	08/17/1999	OPEN
601976997	561499	11/01/2008	OPEN
601960913	453998	07/01/1999	09/30/2002
601965735	722511	07/01/1999	03/01/2003
601972008	999990	08/05/1999	OPEN
601964389	811310	07/01/1999	12/31/2001
601974341	null	null	OPEN
601961045	238110	07/01/1999	03/20/2002
601988027	722514	null	OPEN
601986693	811490	10/01/1999	12/31/1999
601982131	812320	05/01/2010	OPEN
601973577	713940	null	null
601986463	541512	10/13/1999	OPEN
601964285	999990	null	OPEN
601978780	113310	08/12/1999	09/30/1999
601964810	813990	01/01/2010	OPEN
601976467	null	null	OPEN
601959009	811111	07/21/1999	03/31/2000
601986076	999990	10/11/1999	OPEN
601969024	531390	04/01/2004	12/31/2007
601970518	541611	07/29/1999	OPEN
601979454	221310	09/01/1999	OPEN
601974199	null	null	OPEN
601985186	424690	07/01/1999	OPEN
601970067	237210	07/22/1999	OPEN
601976240	235990	08/25/1999	08/25/1999
601963418	999990	06/24/1999	OPEN
601967640	999990	07/15/1999	OPEN
601973613	722511	09/15/1999	07/15/2002
601962649	621210	01/01/2012	OPEN
601964049	812990	06/01/2010	OPEN
601988450	113310	01/01/2006	11/24/2010
601966843	null	null	OPEN
601967078	999990	07/13/1999	OPEN
601959634	721211	null	null
601967506	238220	10/04/1999	08/25/2002
601974740	621210	11/01/1999	OPEN
601961358	484220	08/27/1999	06/07/2001
601964109	722320	06/25/1999	06/30/2010
601964376	523930	01/01/2000	OPEN
601987091	453998	10/01/1999	11/01/2004
601965824	115210	11/18/1999	OPEN
601973292	null	null	OPEN
601980350	444220	07/01/1999	08/30/2009
601966918	238990	07/01/1999	11/30/2001
601974099	541614	01/01/2001	OPEN
601977733	711320	08/31/1999	OPEN
601970696	999990	07/29/1999	OPEN
601972962	522310	08/10/1999	09/30/2008
601958668	551112	01/01/2013	01/01/2013
601965364	812990	12/01/1999	12/31/2000
601965784	722513	07/01/1999	12/31/2010
601988892	623110	10/01/1999	08/31/2003
601972235	999990	08/05/1999	OPEN
601980290	621210	09/15/1999	OPEN
601960609	811212	06/01/1999	OPEN
601972576	531210	02/01/2000	OPEN
601959950	812910	01/01/2011	OPEN
601967038	441310	08/01/1999	OPEN
601976444	999990	08/25/1999	OPEN
601982064	541420	10/04/1999	12/31/2000
601977355	999990	null	OPEN
601974080	233210	09/01/1999	09/01/1999
601981689	999990	09/20/1999	OPEN
601988483	621111	10/22/1999	OPEN
601983814	999990	null	OPEN
601988805	null	null	OPEN
601980197	null	null	OPEN
601980933	238220	10/11/1999	OPEN
601986781	999990	10/15/1999	OPEN
601960891	541310	06/11/1999	OPEN
601983723	999990	09/29/1999	OPEN
601959935	235310	08/01/1999	08/01/1999
601972651	515120	04/01/2002	OPEN
601970022	561320	08/01/1999	09/30/2001
601963391	999990	null	OPEN
601982252	446191	10/07/1999	OPEN
601964030	236115	07/01/1999	06/30/2003
601974900	236115	08/18/1999	OPEN
601981945	null	null	OPEN
601976470	446199	01/13/2011	OPEN
601967387	null	null	OPEN
601969776	999990	null	OPEN
601965375	999990	07/02/1999	OPEN
601972436	624410	08/07/1999	07/29/2005
601971193	811121	08/09/1999	10/09/2001
601986378	999990	null	OPEN
601966931	453310	09/01/2000	12/31/2000
601964323	811191	06/15/1999	12/31/2010
601979502	999990	null	OPEN
601976872	999990	08/27/1999	OPEN
601976686	541519	12/01/1999	12/27/2001
601960142	541519	06/13/1999	01/31/2012
601986557	484110	null	OPEN
601964927	423840	07/01/1999	09/30/2002
601968854	541611	null	OPEN
601969919	531390	07/19/1999	10/23/2000
601976594	999990	null	OPEN
601988350	621320	12/01/1999	OPEN
601968752	722410	03/01/2006	03/01/2006
601965736	561499	null	null
601983305	999990	09/28/1999	OPEN
601959020	999990	05/24/1999	OPEN
601966958	541519	null	OPEN
601986216	611620	06/01/2000	12/06/2002
601960034	424410	07/28/2003	OPEN
601963836	811118	01/01/2000	04/30/2002
601971415	999990	08/02/1999	OPEN
601966463	238910	10/01/1999	OPEN
601987742	621310	11/01/1999	OPEN
601981176	null	null	OPEN
601983268	999990	09/29/1999	OPEN
601965400	999990	07/02/1999	OPEN
601982134	424990	09/22/1999	OPEN
601986114	532412	null	OPEN
601984322	721199	09/08/1999	12/31/2003
601988972	999990	10/25/1999	OPEN
601972381	999990	null	OPEN
601964775	999990	06/18/1999	OPEN
601974300	445291	08/13/1999	02/28/2001
601959087	999990	null	OPEN
601965143	999990	07/01/1999	OPEN
601961964	999990	06/17/1999	OPEN
601966669	448140	05/01/2009	OPEN
601964434	999990	06/30/1999	OPEN
601960811	421110	05/18/1999	05/18/1999
601961336	null	null	OPEN
601961206	424490	05/20/1999	12/31/2012
601989181	238210	10/01/2009	12/31/2012
601983429	541519	05/01/2000	12/31/2012
601969886	541519	08/07/1999	OPEN
601964826	999990	07/01/1999	OPEN
601964600	999990	06/30/1999	OPEN
601974643	424990	null	OPEN
601959716	561499	01/01/2000	OPEN
601964959	621340	07/01/1999	OPEN
601986665	453998	10/13/1999	OPEN
601958797	221210	06/01/1999	09/15/1999
