UBI	NAICS	OPEN DATE	CLOSE DATE
600625182	453998	03/01/1986	12/31/2007
600609824	423510	01/01/1986	12/31/2003
601061554	812112	01/01/1988	OPEN
601034225	446110	08/10/1987	08/31/2004
600638710	541110	07/01/1986	OPEN
601033032	null	null	OPEN
601018801	423690	01/01/1988	OPEN
600608868	722513	02/23/1986	06/02/2007
601052807	null	10/28/1987	OPEN
600637623	621111	08/21/1986	OPEN
601058367	999990	null	OPEN
601060089	999990	12/14/1987	OPEN
601007734	541219	01/01/1990	12/31/2011
601010575	511110	07/01/1986	OPEN
600624174	238150	06/01/1986	12/31/1995
600621940	722410	04/01/1986	10/31/1994
601004695	999990	03/21/1994	03/21/1994
600630906	531320	05/01/1986	10/10/2000
601045338	453998	06/28/1998	06/28/1998
600614384	561720	null	OPEN
601016984	999990	07/01/1987	12/31/1988
601005262	484220	01/21/1987	OPEN
601035653	722513	07/01/1987	OPEN
600631819	999990	06/10/1986	03/31/1988
601061109	999990	12/29/1987	OPEN
601005445	488510	02/01/1987	OPEN
601037005	722310	01/01/1987	OPEN
601009240	999990	10/19/1978	OPEN
601013637	null	null	OPEN
600645842	561311	01/01/1987	01/31/1993
601057695	null	11/24/1987	OPEN
601050335	999990	10/13/1987	OPEN
601061651	722410	01/01/1988	OPEN
601026668	null	null	OPEN
601045185	313310	11/01/1987	11/12/2004
600621359	424480	06/01/1986	OPEN
601034213	541380	08/01/1987	OPEN
601008400	236117	01/01/1987	12/31/2004
600609995	423810	01/01/1986	OPEN
601045401	999990	09/09/1987	OPEN
601013765	423830	07/01/1986	03/31/2011
600632566	999990	07/01/1986	12/31/2002
601040504	999990	11/01/1987	12/31/1990
601045292	233320	09/01/1987	12/31/1989
600636852	532420	09/16/1986	06/01/2001
600609792	711510	05/15/1993	OPEN
600624904	541810	07/01/1986	12/31/2009
601001435	235420	06/01/1987	06/01/1987
600627161	999990	07/01/1986	07/01/1986
600628023	561790	04/01/1986	null
601011833	561510	null	12/31/1998
600625574	541219	06/02/1985	09/30/2008
601005156	999990	01/20/1987	OPEN
601045165	236118	09/16/1987	03/31/2005
601046456	238350	01/01/1993	OPEN
601012296	999990	03/04/1987	OPEN
601030731	999990	06/15/1987	OPEN
601008164	621111	10/01/1986	OPEN
601057660	453998	06/28/1995	null
601002219	999990	01/07/1987	OPEN
601041025	484220	08/16/1987	OPEN
600615040	811111	01/01/1986	OPEN
600609150	484110	09/01/1983	08/25/2000
600626056	713930	06/01/1986	05/30/2003
601058047	423310	12/03/1987	09/30/2006
600632212	561499	08/01/1986	12/31/1999
601008506	999990	12/08/1980	OPEN
601058937	999990	12/04/1987	OPEN
600622445	236115	05/01/1986	null
600636171	236115	09/01/1986	OPEN
601023535	611620	05/01/1987	OPEN
600632819	721110	07/01/1986	OPEN
601001320	453210	10/31/1986	OPEN
600647037	999990	12/01/1986	12/31/1990
601015823	813920	11/01/1986	OPEN
601013165	999990	03/11/1987	OPEN
