UBI	NAICS	OPEN DATE	CLOSE DATE
600562594	null	null	null
600508130	621420	null	null
600525353	null	null	null
600463216	null	null	12/31/2009
600466544	null	null	null
600578139	null	null	null
600607376	null	null	null
600482033	null	null	null
600476308	null	null	12/31/1994
600593986	null	null	12/31/1988
600527408	null	null	null
600577813	null	null	null
600524082	null	null	12/31/2008
600594426	null	null	null
600480148	null	null	null
600467515	524114	null	null
600449681	null	null	10/31/1998
600601860	null	null	12/31/1997
600565417	999990	null	03/31/1988
600442700	null	null	null
600595158	null	null	null
600569444	null	null	null
600434073	null	null	null
600606866	null	null	02/01/1986
600572314	null	null	12/31/2011
600474380	null	null	12/31/2006
600553035	null	null	null
600443753	null	null	null
600484626	null	null	01/30/2003
600558920	null	null	null
600439573	null	null	null
600584886	null	null	null
600508366	null	null	09/30/1999
600592521	null	null	null
600567326	null	null	null
600594287	null	null	null
600463349	null	null	01/25/2010
600589518	null	null	null
600586875	null	null	null
600601870	null	null	08/01/2001
600522054	541330	null	null
600467880	null	null	null
600442284	443142	null	null
600606395	null	null	00/31/1994
600474434	null	null	null
600468708	null	null	null
600553305	null	null	null
600593612	null	null	null
600566237	null	null	null
600496474	null	null	null
600599710	null	null	null
600471243	null	null	null
600510227	null	null	null
600601791	null	null	02/20/2001
600594647	null	null	null
600533071	null	null	12/31/2008
600445662	null	null	null
600581692	null	null	null
600551869	null	null	null
600554695	null	null	null
600529588	null	null	null
600546916	null	null	12/31/2003
600431626	532112	null	03/31/2009
600562259	null	null	null
600484691	null	null	12/31/1999
600448905	null	null	null
600545252	null	null	null
600570003	null	null	null
600591796	null	null	null
600598696	null	null	null
600429864	null	null	null
600510606	null	null	12/31/1986
600459623	null	null	null
600562152	null	null	null
600466371	null	null	09/30/1997
600594844	null	null	null
600575825	null	null	null
600450380	null	null	10/05/2010
600521201	null	null	null
600538660	null	null	09/30/2006
600430725	null	null	12/31/2010
600435691	null	null	null
600501914	null	null	null
600515894	null	null	12/31/2004
600595825	null	null	null
600439105	null	null	null
600604337	null	null	null
600519182	null	null	null
600438675	null	null	03/30/2012
600595395	null	null	null
600563381	null	null	12/31/1994
600498602	null	null	12/31/1986
600588591	999990	null	12/31/1986
600484126	null	null	null
600466154	null	null	null
600483736	null	null	null
600430829	null	null	12/31/1997
600486668	null	null	12/01/1992
600551316	999990	null	12/31/1986
600463357	null	null	null
600503013	null	null	03/31/2008
600443836	null	null	null
600608170	null	null	10/31/2003
600559200	null	null	null
600594574	null	null	null
600495575	null	null	12/31/1990
600537885	null	null	01/31/2003
600548990	null	null	null
600468018	null	null	null
600469242	null	null	null
600428261	null	null	null
600473093	623110	null	null
600449999	null	null	12/31/2010
600537759	null	null	12/31/1997
600581560	null	null	null
600605153	null	null	null
600583348	null	null	12/31/1992
600447153	null	null	01/31/2012
600503951	null	null	null
600464279	null	null	null
600535291	null	null	null
600451708	999990	null	07/01/1982
600501639	null	null	12/31/1996
600607851	null	null	null
600604347	null	null	12/31/2008
600439917	null	null	12/31/2001
600531940	null	null	12/31/1986
600506394	null	null	null
600477470	null	null	null
600548817	null	null	12/31/1986
600558448	null	null	null
600533837	null	null	null
600434831	null	null	null
600560252	null	null	null
600515963	null	null	null
600512264	null	null	05/06/2000
600488533	null	null	08/01/1999
600459337	null	null	null
600608267	null	null	null
600549059	null	null	null
600608828	null	null	12/31/2011
600507541	null	null	null
600472705	null	null	06/30/1988
600460059	null	null	12/31/2000
600512567	null	null	null
600475780	null	null	09/30/1998
600478261	null	null	12/31/2008
600513728	null	null	04/30/1997
600507306	null	null	12/31/2006
600477114	null	null	03/31/2012
600443448	null	null	null
600434052	null	null	null
600562429	null	null	null
600497047	null	null	null
600565038	null	null	08/31/2002
