UBI	NAICS	OPEN DATE	CLOSE DATE
601302403	233110	02/25/1991	02/25/1991
601338729	null	null	OPEN
601292798	611519	01/01/1991	OPEN
601318923	441310	06/15/1991	07/31/2002
601292247	541940	null	OPEN
601323875	441222	07/01/1991	08/31/1998
601276264	999990	10/01/1990	OPEN
601274246	999990	10/15/2001	10/15/2001
601283940	541330	03/01/1991	OPEN
601303665	999990	03/04/1991	OPEN
601293960	999990	01/26/1991	12/31/1993
601321576	561790	null	06/30/2001
601284096	512191	10/20/1990	OPEN
601292472	621512	02/01/1991	09/30/2006
601291050	541211	12/21/1990	12/31/1999
601288060	999990	12/03/1990	OPEN
601292961	533110	01/01/1990	OPEN
601289885	812112	12/17/1990	05/01/2002
601290557	238910	01/01/1991	OPEN
601301496	115310	01/01/1991	OPEN
601338046	813410	08/29/1991	OPEN
601307628	541214	03/19/1991	06/30/1999
601346196	999990	10/01/1991	OPEN
601289092	999990	12/10/1990	OPEN
601293078	532120	05/11/2006	OPEN
601310453	236115	08/01/1991	12/31/1997
601341126	561730	null	OPEN
601273990	624310	10/05/1990	OPEN
601319639	236115	01/01/1991	05/31/2004
601317932	623110	06/01/1991	10/11/2002
601276124	null	null	OPEN
601276886	621340	10/01/1990	OPEN
601350366	237310	11/01/1991	12/31/2011
601284773	447110	12/29/1990	07/31/2000
601325811	447110	07/01/1991	11/30/2006
601320326	236118	05/23/1991	03/31/1999
601329201	811490	10/01/1991	01/31/2003
601349075	451110	10/28/1991	03/10/2002
601351822	237110	11/01/1991	OPEN
601341352	722511	08/01/1991	OPEN
601350100	484220	08/01/1994	OPEN
601307495	523130	04/01/1991	04/30/2004
601323212	561510	06/01/1991	12/31/2001
601347661	999990	10/21/1991	OPEN
601309830	236115	04/01/1991	OPEN
601330806	487210	07/01/1991	01/27/1997
601273950	999990	09/19/1990	OPEN
601298574	561510	null	OPEN
601283559	238160	11/01/1990	06/30/2005
601329848	424320	01/01/1997	OPEN
601338179	238220	10/25/1991	02/01/2012
601305113	515120	03/11/1991	09/30/2001
601343182	524298	10/01/1991	OPEN
601339800	335921	09/19/1994	12/25/1999
601318035	541611	05/01/1991	OPEN
601341992	null	null	OPEN
601288607	531390	01/01/1991	04/30/2006
601283972	423940	01/01/1990	OPEN
601346872	621111	11/01/1991	OPEN
601318705	424330	05/15/1991	12/31/2002
601343198	423430	11/01/1991	OPEN
601334709	561110	07/01/2005	12/31/2006
601312615	238330	07/01/1991	05/31/1998
601332861	812112	null	null
601332293	null	null	OPEN
601351571	999990	01/01/1992	12/31/1993
601308491	541330	05/01/1991	OPEN
601322661	713120	10/01/1996	11/30/1999
601277222	999990	10/03/1990	OPEN
601275168	523120	09/20/1990	12/31/2004
601309516	488510	04/01/1991	OPEN
601300231	238350	03/01/1991	OPEN
601304034	999990	03/05/1991	OPEN
601298317	999990	02/04/1991	OPEN
601329837	999990	null	OPEN
601292583	541330	null	OPEN
601339488	238220	09/01/1991	OPEN
601338546	null	null	OPEN
601327047	238320	null	null
601281050	999990	10/25/1990	OPEN
601348355	null	04/15/1959	OPEN
601346785	532292	10/01/1991	OPEN
601324422	999990	06/13/1991	OPEN
601341847	561730	null	OPEN
601343203	522293	01/01/2006	08/20/2009
601311474	null	null	null
601279666	327390	11/01/1990	OPEN
601291402	423110	02/15/1991	OPEN
601350629	561510	01/20/1992	09/30/1998
601290091	999990	12/13/1990	OPEN
601282589	null	null	OPEN
601309087	531210	04/01/1991	OPEN
601274157	541511	null	03/31/2005
601283324	999990	11/05/1990	OPEN
601338122	null	12/27/1985	OPEN
601325714	null	null	OPEN
601303009	423510	01/01/1991	OPEN
601282398	null	null	OPEN
601318560	999990	null	OPEN
601301414	236118	03/15/1991	12/31/2010
601285035	811111	10/22/1990	02/28/1998
601345606	999990	null	OPEN
601287066	532420	null	OPEN
601289142	999990	12/12/1990	OPEN
601275535	999990	10/01/1990	OPEN
601274734	423830	null	09/30/2012
601334001	541611	08/01/1991	OPEN
601277787	541613	null	06/30/2003
