UBI	NAICS	OPEN DATE	CLOSE DATE
054005700	531210	null	12/31/2000
048002809	493120	null	12/31/2001
152000570	493110	null	OPEN
084006557	444190	02/09/1968	null
084005112	451140	null	09/30/2010
065013458	621491	null	OPEN
084005816	446110	null	null
054004895	443141	null	12/31/2009
171003075	999990	null	null
113004116	999990	null	null
174004580	334210	null	07/23/2008
171004760	327320	null	OPEN
036002479	561710	01/01/1964	OPEN
065011931	null	04/01/1966	OPEN
036002495	441310	01/01/1964	OPEN
148000655	null	null	OPEN
013000291	423820	01/01/1961	OPEN
054004835	113310	null	OPEN
034005468	812210	01/01/1968	OPEN
065008455	423120	null	null
171003170	null	null	null
059000751	221310	null	OPEN
084000085	null	null	null
045000231	424480	null	OPEN
054006238	484210	null	OPEN
022001769	813410	01/01/1988	OPEN
143001331	713910	null	null
171005320	448140	08/01/1968	OPEN
144000199	813410	null	OPEN
175000949	531210	null	OPEN
101000664	321912	null	11/30/2011
171005625	238320	null	OPEN
084005647	null	null	null
048006501	622110	null	OPEN
014000215	221310	09/01/1964	null
065007578	322220	null	OPEN
113002452	812210	null	OPEN
042001051	446110	null	OPEN
042001017	null	null	OPEN
134002464	441228	null	null
065011687	621320	null	null
048007663	452110	null	null
086001161	484121	null	OPEN
065005112	423840	null	OPEN
036002626	713940	null	OPEN
173003912	999990	null	04/01/1984
036002239	237990	01/01/1990	OPEN
153001717	null	null	null
054004511	311710	null	null
135001001	424480	null	null
036003242	813410	null	OPEN
145001301	524127	null	OPEN
174004568	541330	null	11/01/2001
013000026	424510	null	null
084000156	813990	null	null
141007077	113310	01/01/2004	null
169000762	423320	08/01/1969	OPEN
144003412	484110	07/01/1968	OPEN
048007460	null	null	09/30/2012
175000937	447110	null	04/22/2003
173005074	423330	null	OPEN
065005914	339920	null	null
141000001	423830	null	OPEN
065009623	339116	null	null
161001599	null	null	OPEN
034004339	561730	null	null
141000273	446110	null	12/31/2004
022001879	null	01/01/1968	OPEN
172000199	null	null	OPEN
034004023	323113	null	11/24/1993
084006892	444220	06/28/1969	OPEN
134003317	484110	04/01/1969	OPEN
101000848	null	null	12/31/2012
065001128	null	null	OPEN
084006300	515112	null	null
047000013	424480	null	OPEN
174004091	424720	null	04/19/2002
034004829	null	01/01/1965	null
034004650	424910	null	09/30/2001
083001997	813410	null	null
048008665	238140	null	03/31/2010
174004508	541611	04/01/1968	null
041001027	221310	null	null
132001854	812220	null	10/23/2004
048000001	null	null	OPEN
145001332	113310	null	OPEN
173004298	454310	null	null
173005205	332313	null	OPEN
141006054	611620	null	null
134003207	238910	null	12/31/2006
084005109	524210	null	09/30/2000
144003157	812210	08/01/1964	OPEN
083004322	722513	04/01/1965	09/30/2003
084005913	331511	06/01/1965	OPEN
048007945	424910	01/01/1966	OPEN
173005882	444190	null	OPEN
048000545	813410	null	null
132002124	424910	null	OPEN
144003086	423330	null	OPEN
176000976	446110	null	06/30/2008
172002137	238210	null	01/01/2011
144002932	322122	null	02/28/1993
084005915	445110	null	OPEN
141007033	238910	null	OPEN
071000561	813410	null	OPEN
042000528	813410	null	OPEN
034005063	451120	null	09/30/2008
035001132	531210	null	OPEN
048006223	493120	null	OPEN
036002695	518210	07/01/1965	OPEN
036002576	722410	null	OPEN
141006405	524127	null	OPEN
141001578	813410	null	OPEN
065009691	561612	null	06/30/2000
101000696	713990	null	OPEN
048000100	722410	null	OPEN
065012726	524210	null	12/31/2010
134002309	221310	null	OPEN
135000502	221310	01/01/1953	OPEN
141005121	423610	null	OPEN
152000530	713990	01/01/1967	OPEN
084006302	531312	null	null
084000975	331313	null	OPEN
065007360	null	null	OPEN
065000008	null	null	OPEN
041000794	311340	null	OPEN
144002658	444130	null	12/31/2009
113003433	531110	null	OPEN
048004932	null	null	null
084005245	444220	null	09/30/2000
066000955	445110	08/01/2001	03/22/2005
041000967	524210	null	OPEN
065008937	532490	null	null
141005104	444130	null	OPEN
172001197	441310	null	OPEN
034003956	238220	01/01/1989	OPEN
141006203	447190	07/01/1963	OPEN
055001255	446110	05/01/1966	OPEN
048006650	531210	null	OPEN
141006278	444190	null	06/30/2002
153001716	813410	null	OPEN
141005840	444130	null	07/31/1999
141000895	441310	null	null
173003573	484121	null	12/31/2002
047000012	424480	01/01/1990	OPEN
173004006	531312	null	OPEN
161001597	712110	null	OPEN
044000961	813910	08/01/1977	OPEN
015000177	221122	null	OPEN
134002312	332710	null	OPEN
022001694	713950	null	null
034002336	812220	null	OPEN
173004369	238910	null	OPEN
034004856	237130	05/01/1967	04/01/2004
034004855	624310	null	OPEN
014000974	448140	01/01/1967	02/28/1993
048001117	424480	null	OPEN
048007893	446110	null	null
141005779	999990	null	null
135001050	null	null	OPEN
071000657	424910	null	OPEN
149001494	484110	null	OPEN
015000861	null	null	OPEN
065011198	722410	null	12/31/2008
141005456	424490	null	06/30/1997
084004757	null	null	OPEN
148000458	311710	null	OPEN
113004004	444130	null	OPEN
121000034	424910	null	OPEN
015000002	null	null	OPEN
173005375	484110	01/01/1968	OPEN
135000992	444130	null	null
065009339	561440	null	OPEN
152000616	453310	null	OPEN
141007220	813410	null	null
173005410	333999	09/01/1967	OPEN
134003054	null	01/01/1967	OPEN
054004972	454310	null	null
161001567	424810	01/01/1967	null
173006049	444110	null	null
083004759	237310	01/01/1969	OPEN
113003598	811310	null	OPEN
173002203	112120	null	OPEN
065004336	null	null	null
061000593	null	null	OPEN
143001215	null	null	06/30/2004
071001104	null	null	OPEN
176001172	531320	null	OPEN
084006871	233210	null	null
054004697	811310	null	OPEN
151000341	522110	null	OPEN
048005313	null	02/01/1955	null
144001536	999990	null	06/30/1989
141000540	813940	null	OPEN
141000418	113310	null	OPEN
174003173	531210	null	OPEN
134003079	238220	null	OPEN
042000052	493120	null	OPEN
054005869	221310	09/01/1965	OPEN
048005423	484210	null	OPEN
065006147	484220	null	null
066000939	332999	null	null
132001117	null	null	null
065012381	813410	04/01/1987	OPEN
145001395	517110	07/01/1967	OPEN
084004977	441320	null	null
131000465	541922	null	11/01/2000
054005800	238210	01/01/1966	OPEN
144002126	113310	null	12/31/1999
174002102	null	null	03/29/2007
094000335	611620	01/01/1988	01/01/1998
034003968	null	null	OPEN
113003367	999990	null	OPEN
053000591	813410	null	OPEN
172002162	524210	null	OPEN
054005606	423120	09/01/1964	01/24/2003
135000749	813410	null	OPEN
144003273	488390	01/01/1982	OPEN
065009700	238140	null	OPEN
141004863	424110	null	null
086001135	524210	12/01/1965	OPEN
065010290	531311	01/01/1967	OPEN
031000290	812220	null	OPEN
172001536	423810	null	OPEN
173005626	562998	01/01/1968	null
173005665	332813	07/01/1968	OPEN
121000475	813410	null	null
084006516	423140	null	null
065012731	483211	02/01/1968	OPEN
065008470	424470	null	09/07/2012
084005035	null	null	08/31/2001
173005352	326199	null	12/31/1997
054006444	424820	null	null
065009472	321992	null	OPEN
174002130	null	null	09/30/2011
173005445	722513	null	OPEN
034001963	484121	null	OPEN
036000539	813410	null	null
174004245	423860	null	null
054006384	524210	01/01/1969	OPEN
048008687	113310	null	OPEN
084003907	null	null	OPEN
054005409	452990	09/01/1963	OPEN
141006110	442110	null	OPEN
054006198	null	02/01/1968	OPEN
084000327	813410	null	OPEN
048006300	null	null	OPEN
065012477	452990	null	null
084000429	523930	08/01/2007	null
148000769	541219	null	null
175000965	812220	null	OPEN
062001349	null	null	OPEN
062001828	null	04/01/1966	OPEN
171002955	444190	null	01/01/2004
173005775	562211	01/01/1969	02/29/2004
114000022	517410	null	null
066000667	313310	null	OPEN
113004369	425110	02/01/1967	10/01/2000
141005756	null	null	null
048007818	561790	08/20/1965	null
036003373	561730	04/01/1980	OPEN
144002323	722410	null	OPEN
113003721	441320	null	12/31/2009
041000824	712120	null	OPEN
