UBI	NAICS	OPEN DATE	CLOSE DATE
601890981	484230	10/26/1998	07/31/2009
601912175	999990	11/06/1998	OPEN
601904081	561499	09/28/1998	12/31/2006
601889894	999990	07/20/1998	OPEN
601909362	713990	10/16/1998	OPEN
601902673	999990	09/21/1998	OPEN
601904199	541211	10/01/1998	OPEN
601905598	722511	10/20/1998	02/29/2000
601899481	999990	09/04/1998	OPEN
601915739	999990	11/25/1998	OPEN
601903844	238130	10/01/1998	12/31/2002
601903180	811111	09/14/1998	null
601918200	999990	12/10/1998	OPEN
601898277	441120	null	09/10/1998
601894503	999990	08/07/1998	OPEN
601908958	811310	01/01/1999	12/15/2004
601910628	488310	11/13/1998	12/31/2005
601916568	999990	11/20/1998	OPEN
601900204	811490	09/15/1998	10/05/2005
601890559	541990	07/23/1998	07/31/2001
601896581	236116	10/01/1998	02/28/2011
601915018	541310	12/01/1998	OPEN
601891311	541519	08/05/1998	OPEN
601912100	999990	11/01/1998	11/01/1998
601892793	null	null	OPEN
601907531	999990	11/01/1998	OPEN
601905257	624110	10/02/1998	08/06/2013
601911664	451110	11/17/1998	12/31/2000
601905985	999990	09/24/1998	OPEN
601892038	531210	null	OPEN
601904042	999990	null	OPEN
601916035	999990	11/30/1998	OPEN
601900378	999990	09/08/1998	OPEN
601916394	null	null	OPEN
601901169	541211	null	OPEN
601914363	444190	11/19/1998	06/01/2000
601897851	561499	null	null
601915491	541110	01/04/1999	05/01/2000
601910899	454110	11/15/1998	12/31/2001
601891201	999990	07/27/1998	OPEN
601915656	999990	11/25/1998	OPEN
601887722	323120	08/01/1998	06/30/2009
601890203	236118	07/22/1998	04/09/2005
601907390	713910	01/01/1999	12/31/2004
601888490	236115	07/14/1998	OPEN
601902079	999990	09/17/1998	OPEN
601906592	238320	07/01/1998	OPEN
601894776	453930	01/01/1999	OPEN
601899930	541720	01/01/2000	OPEN
601893097	722513	03/01/1999	03/31/2007
601897379	999990	null	OPEN
601893409	541611	08/05/1998	12/31/2000
601888137	null	null	OPEN
601908963	999990	10/22/1998	OPEN
601899877	453998	09/08/1998	12/31/2001
601891951	541519	08/01/1998	OPEN
601910954	551112	10/28/1998	10/28/1998
601917461	null	null	OPEN
601909213	333244	10/23/1998	12/31/2010
601915524	999990	null	OPEN
601905995	561311	08/31/1998	OPEN
601890150	999990	07/20/1998	OPEN
601896883	424460	08/03/1998	OPEN
601910197	532412	10/27/1998	OPEN
601898030	238350	09/07/1998	12/31/2000
601902384	561440	07/01/1997	06/30/2008
601891561	454111	07/20/1998	12/31/2009
601913446	999990	11/13/1998	OPEN
601897003	999990	08/24/1998	OPEN
601914590	999990	06/15/1999	OPEN
601906069	999990	null	OPEN
601897322	541310	05/01/1998	06/30/2002
601913357	454111	11/10/1998	09/30/1999
601890436	722513	09/01/1998	OPEN
601890460	445120	07/15/2009	OPEN
601904865	445110	07/01/1998	05/31/2001
601911300	238210	11/01/1998	10/31/2006
601909620	541990	12/01/1998	OPEN
601916353	null	11/19/1998	OPEN
601917626	null	null	OPEN
601889853	999990	07/17/1998	OPEN
601904512	811310	09/01/1998	OPEN
601918020	999990	12/09/1998	OPEN
601906993	999990	10/08/1998	OPEN
601912187	541330	03/29/1999	12/31/2010
601894842	999990	08/12/1998	03/31/2000
601888707	443142	null	null
601898353	999990	10/08/1998	10/08/1998
601912764	541512	11/10/1998	OPEN
601899334	999990	09/04/1998	OPEN
601905604	999990	10/05/1998	OPEN
601902362	541110	09/21/1998	OPEN
601888014	999990	06/10/1998	OPEN
601896788	453998	09/28/1998	OPEN
601906070	999990	10/07/1998	OPEN
601908973	423510	10/24/1998	05/31/2009
601888282	999990	07/13/1998	OPEN
601890752	453998	01/01/1998	OPEN
601891969	236115	07/30/1998	07/30/1998
601918136	522390	12/09/1998	02/25/2013
601910669	999990	11/30/1998	12/31/1998
