UBI	NAICS	OPEN DATE	CLOSE DATE
601624045	561510	01/01/1995	OPEN
601629999	336112	null	12/31/1997
601622012	522292	04/14/1995	12/31/2011
601624202	611620	06/01/2001	04/30/2002
601636049	423110	07/01/1995	OPEN
601625219	null	null	OPEN
601635429	561599	04/28/1995	OPEN
601620442	null	null	OPEN
601646780	238990	01/01/2007	12/31/2010
601645916	447110	10/12/1995	OPEN
601639673	999990	06/15/1995	OPEN
601628697	999990	05/11/1995	05/11/1995
601630135	999990	null	OPEN
601621882	999990	06/19/1995	12/31/2006
601631823	531210	07/14/2006	07/14/2006
601621118	999990	04/12/1995	OPEN
601648176	null	null	OPEN
601625858	999990	null	OPEN
601631004	541830	01/01/1997	OPEN
601642337	999990	05/31/1995	OPEN
601647719	722513	12/01/1995	10/01/1998
601633076	424410	07/01/1995	OPEN
601649019	444190	01/01/1996	12/31/2000
601622259	238320	04/16/1995	10/31/1996
601627978	999990	03/17/1995	OPEN
601637209	999990	null	OPEN
601622623	561990	null	03/14/2005
601633755	541922	06/01/1995	OPEN
601624750	561492	null	OPEN
601629913	621210	10/01/1995	OPEN
601633835	999990	03/01/1998	03/31/1998
601626737	541613	null	OPEN
601640716	541519	07/01/1995	06/30/2001
601626317	999990	null	OPEN
601640985	999990	null	OPEN
601648395	236220	09/01/1995	05/17/2004
601628003	517919	05/22/1995	OPEN
601622979	999990	10/30/1936	OPEN
601643975	454390	null	12/31/2005
601646837	722410	01/01/2000	01/01/2000
601629469	454113	05/12/1995	OPEN
601627981	541512	02/01/1995	05/31/2001
601632120	443142	07/01/1995	12/31/1997
601648258	541420	null	null
601628339	561499	01/05/1995	06/30/1996
601624139	541330	null	null
601618502	531210	06/01/1995	OPEN
601647093	999990	07/28/1995	09/30/1996
601623034	999990	01/25/1995	OPEN
601649016	999990	08/07/1995	OPEN
601626141	999990	04/27/1995	OPEN
601642111	453998	null	null
601643425	522310	07/13/1995	OPEN
601628705	522292	08/30/1995	05/31/2001
601640449	541110	07/01/1995	OPEN
601633445	561499	05/30/1995	OPEN
601636117	541990	06/12/2000	OPEN
601618484	522292	null	OPEN
601630319	522292	12/01/1995	12/31/1999
601641096	999990	12/01/1995	OPEN
601619937	null	null	OPEN
601622092	999990	01/01/1995	01/01/1995
601635356	811111	null	OPEN
601645674	453210	08/01/1995	OPEN
601628395	null	null	OPEN
601621299	999990	null	OPEN
601649417	423320	07/20/1995	07/31/2004
601632816	453991	07/01/2002	01/21/2003
601643750	999990	05/31/1995	OPEN
601628747	517911	01/01/2011	OPEN
601638606	541710	01/01/1997	06/30/1998
601620901	811212	04/11/1995	12/31/2000
601648411	621210	11/01/1995	OPEN
