UBI	NAICS	OPEN DATE	CLOSE DATE
601769008	453998	01/17/1997	OPEN
601779174	999990	03/26/1997	OPEN
601785874	811490	null	09/30/1998
601798328	999990	null	OPEN
601822674	999990	10/03/1997	OPEN
601820728	531311	10/17/1997	OPEN
601817166	null	null	OPEN
601819286	513310	09/17/1997	09/17/1997
601818855	813410	01/01/2013	OPEN
601786598	999990	04/24/1997	OPEN
601806219	999990	07/23/1997	OPEN
601803204	541618	07/01/1997	09/30/2007
601782698	561790	04/09/1997	09/30/1997
601791680	451110	06/01/1997	OPEN
601801953	237110	07/01/1997	06/20/2001
601817504	454113	01/01/1998	OPEN
601808067	236115	07/31/1997	09/30/1997
601779407	null	null	OPEN
601795370	999990	05/26/1997	05/30/1999
601797848	999990	null	09/15/1997
601796817	null	null	OPEN
601802463	561499	01/05/1998	12/31/2000
601775692	999990	03/10/1997	OPEN
601788644	999990	05/02/1997	OPEN
601786182	541512	04/01/1997	OPEN
601788865	424310	05/05/1997	12/31/2007
601816383	334614	09/08/1997	OPEN
601821647	null	10/26/1945	OPEN
601813045	722511	09/02/1997	08/31/2006
601778310	999990	03/19/1997	OPEN
601786523	999990	04/10/1997	OPEN
601772667	447110	null	null
601808302	562111	08/04/1997	12/31/2000
601788172	999990	null	OPEN
601785565	541330	null	12/31/2010
601792340	999990	04/09/1974	OPEN
601813886	446120	08/27/1997	12/31/1998
601782969	999990	04/09/1997	OPEN
601820353	999990	09/18/1997	OPEN
601783946	999990	04/16/1997	12/31/1997
601813107	999990	08/22/1997	OPEN
601821842	238110	10/01/1997	OPEN
601804132	999990	07/07/1997	OPEN
601807229	null	null	OPEN
601805621	445110	09/30/1997	12/31/2005
601808991	999990	08/05/1997	OPEN
601769187	453998	01/01/2005	12/31/2009
601820339	441110	01/01/1998	03/30/2006
601810568	999990	08/12/1997	OPEN
601819485	999990	10/23/1980	OPEN
601809536	541511	08/01/1997	03/31/2000
601807278	238210	07/29/1997	06/30/2007
601777482	423610	null	OPEN
601817541	114112	09/18/1997	OPEN
601800099	999990	06/05/1979	OPEN
601776266	453998	03/13/1997	OPEN
