UBI	NAICS	OPEN DATE	CLOSE DATE
600301771	null	null	null
600330158	332322	06/11/1979	null
600285947	722513	null	06/30/1998
600290174	423320	null	OPEN
600205054	722511	07/01/1976	10/31/2005
600419906	null	null	null
600369276	999990	null	04/01/1987
600399429	236220	05/04/1981	09/30/2003
600360640	722511	null	null
600265509	332813	null	OPEN
600380177	null	null	null
600333571	441228	null	04/03/2003
600228266	531210	null	OPEN
600215062	236115	10/01/1976	12/31/2000
600309698	null	null	null
600299838	531320	null	OPEN
600313059	524298	null	OPEN
600355078	999990	null	null
600244254	339999	null	05/31/2002
600241204	541380	04/01/1977	null
600237354	236115	null	OPEN
600279633	611410	null	null
600316311	811412	null	OPEN
600399044	null	null	02/01/2001
600422036	448120	null	null
600307443	621210	null	OPEN
600403960	488510	null	OPEN
600374088	722511	null	null
600404207	623220	null	OPEN
600310893	541330	null	OPEN
600304367	451211	null	null
600336115	null	null	null
600288859	484110	null	OPEN
600400344	444120	05/01/1981	OPEN
600223634	334514	null	null
600272613	423820	null	OPEN
600232817	999990	04/01/1977	12/31/1986
600279209	233210	null	02/28/1985
600294796	519120	null	OPEN
600234173	null	04/01/1977	null
600397248	811430	null	null
600351180	999990	null	12/31/1990
600192356	532420	null	03/30/2005
600309514	541330	null	OPEN
600352498	621210	11/01/1979	OPEN
600244587	541330	null	null
600420150	null	10/01/1981	OPEN
600295427	541370	null	OPEN
600196888	722515	null	null
600307904	null	null	OPEN
600252320	532490	null	OPEN
600339054	423830	01/01/1975	OPEN
600209470	488410	09/01/1976	10/31/1997
600364344	null	04/01/1980	09/04/2001
600356434	null	null	OPEN
600260976	null	08/23/1994	09/30/1999
600320938	238990	null	OPEN
600192654	532490	05/01/1976	12/06/2001
600409579	237210	null	OPEN
600425532	null	12/22/2004	02/25/2013
600425708	561990	07/01/1981	null
600381347	999990	07/01/1980	null
600403945	999990	07/18/1988	null
600319384	238330	null	OPEN
600300556	424410	null	null
600347666	561510	null	null
600325638	531210	null	OPEN
600328569	424120	04/01/1979	05/26/2006
600385035	541611	null	null
600322893	561730	03/01/1979	OPEN
600385518	484110	06/01/2001	12/31/2005
600354623	522294	03/01/1980	OPEN
600231223	238990	04/01/1977	OPEN
600237268	541330	null	OPEN
600228334	442110	null	null
600386087	621210	01/01/1981	OPEN
600214303	445110	null	OPEN
600310381	621210	01/01/1979	12/31/2008
600186534	238210	01/01/1976	08/31/2000
600407862	333131	08/01/1981	null
600324835	424720	null	OPEN
600321894	null	null	01/22/2002
600207005	null	09/02/1976	OPEN
600308261	541330	null	09/30/2000
600343139	334290	null	null
600185656	453998	02/01/1976	OPEN
600372487	238110	null	11/30/2002
600300012	422720	null	06/30/1983
600291230	711320	null	null
600330234	null	null	OPEN
600413008	445310	null	OPEN
600322204	999990	null	12/31/1990
600292200	531320	07/01/1978	null
600343626	233110	null	12/31/1990
600238457	236115	null	null
600302376	532299	null	OPEN
600348094	541219	null	OPEN
600383629	621410	null	OPEN
600319336	null	null	OPEN
600232865	238910	04/01/1977	OPEN
600342326	424130	null	OPEN
600374320	238350	10/01/1980	OPEN
600260712	null	null	OPEN
600384253	238210	01/01/1981	06/30/2005
600340227	623990	null	OPEN
600283667	561320	null	OPEN
600316426	561730	null	OPEN
600318942	423610	null	OPEN
600423061	null	null	null
600287524	531320	null	OPEN
600221822	221310	null	null
600292230	236115	null	null
600261820	813990	null	OPEN
600261483	null	null	null
600260545	444190	null	OPEN
600398854	444190	05/01/1981	null
600418210	541211	null	OPEN
600342831	531210	09/01/1991	06/30/2012
600322296	238220	null	OPEN
600222942	448120	null	null
600274517	442210	null	OPEN
600341767	null	null	01/13/2004
600326967	null	null	OPEN
600238892	441310	null	OPEN
600357038	453920	03/20/1980	null
600423439	115310	01/08/1982	null
600338021	423120	null	OPEN
600319443	423430	null	12/31/1997
600423680	null	null	null
600214225	453220	11/23/1976	OPEN
600304374	531390	null	null
600220984	512110	null	OPEN
600340287	621493	null	OPEN
600215483	999990	null	null
600370720	null	07/01/1980	OPEN
600387033	524292	01/01/1981	OPEN
600342539	441222	null	OPEN
600405624	238990	null	null
600394344	522292	null	01/31/2001
600381680	621310	null	09/30/2005
600316647	999990	null	null
600187988	531210	null	null
600389316	541330	null	OPEN
600331009	236117	null	null
600309841	541211	null	OPEN
600232666	237130	05/01/1977	OPEN
600412472	524298	null	06/23/2003
600344710	621491	07/05/1979	03/31/2002
600371153	813910	null	OPEN
600293059	236118	null	OPEN
600356123	713930	null	OPEN
600299273	null	null	OPEN
600292564	422720	null	null
600191663	561730	null	10/30/2009
600182975	423820	02/01/1976	OPEN
600261822	999990	null	OPEN
600426490	null	01/01/1982	null
600389500	423220	01/01/1981	06/30/1999
600309465	339116	null	null
600349824	524210	null	null
600232122	424910	null	null
600243336	null	null	null
600305538	722320	null	null
600335063	488510	null	OPEN
600357233	561510	null	OPEN
600408747	424720	null	08/31/2005
600373914	541512	null	OPEN
600357259	315990	null	OPEN
600212977	442299	null	OPEN
600206140	236118	09/01/1976	12/31/2008
600209345	541611	null	null
600399853	null	null	OPEN
600417653	445120	null	12/31/1997
600365512	null	04/01/1980	OPEN
600426535	999990	null	null
600310375	446110	02/01/1979	12/31/2006
600353779	611699	null	OPEN
600334389	813410	null	OPEN
600287574	238310	null	OPEN
600239523	424810	null	09/30/2005
600420407	423510	09/01/1981	07/31/2002
600245997	null	null	OPEN
600183614	335122	null	07/31/1998
600426462	444130	null	null
600350573	441310	null	08/31/1990
600217776	423710	null	09/30/2004
600408782	524210	07/01/1980	null
600213019	447110	null	null
600263397	441120	null	09/30/2008
600327701	null	null	null
600389310	236115	null	03/25/2001
600238315	236118	null	12/31/2001
600415171	541211	null	12/31/2007
600422486	999990	07/31/1981	OPEN
600350284	446130	01/01/1980	08/31/2009
600404153	113310	null	null
600289755	485991	08/01/1978	06/30/2005
600251958	null	10/01/1977	OPEN
600235832	561499	04/01/1977	null
600399727	722410	null	03/31/2000
600368247	621210	07/01/1980	OPEN
600311266	623312	null	OPEN
600377097	null	09/01/1980	null
600424503	811310	null	OPEN
600409240	621493	10/01/1980	OPEN
600345681	531210	null	12/31/1997
600407062	221310	null	OPEN
600410915	423690	null	OPEN
600354478	999990	03/01/1980	09/30/1985
600358215	522292	null	null
600406617	null	null	12/31/2007
600386631	null	null	OPEN
600298829	532411	null	null
600351186	813410	null	OPEN
600348893	236115	null	04/01/2004
600385882	238220	01/01/1981	OPEN
600374610	445110	null	OPEN
600218149	713910	01/01/1977	OPEN
600253198	null	11/01/1977	OPEN
600315848	812210	null	OPEN
600349643	423830	null	OPEN
600263423	621498	01/01/1988	09/30/2004
600405360	113310	06/01/1981	null
600421230	null	null	OPEN
600417036	423820	null	null
600351697	541940	null	09/30/2006
600355652	423710	null	12/31/2004
600249679	238210	null	OPEN
600274789	237130	null	OPEN
600398309	561621	null	OPEN
600349397	424910	null	null
600410341	611620	null	OPEN
600255097	null	null	OPEN
600330689	541330	null	null
600417528	336320	09/01/1981	null
600263805	621210	10/06/1977	OPEN
600409854	541511	null	OPEN
600357708	448140	null	null
600282116	236115	02/01/2008	12/31/2010
600272287	null	null	OPEN
600356377	713930	01/01/1979	09/30/2005
600338361	237110	null	05/01/2006
600390372	524210	01/21/1981	null
600291098	445110	null	OPEN
600359320	443141	null	05/05/2006
600378110	722511	09/01/1980	OPEN
600385548	424320	null	OPEN
600370628	561499	null	OPEN
600337601	236220	null	12/01/2010
600364920	238130	null	null
600278235	null	null	OPEN
600220903	999990	null	null
600344845	423220	null	OPEN
