UBI	NAICS	OPEN DATE	CLOSE DATE
601937109	722511	01/01/2007	OPEN
601946758	999990	null	OPEN
601922414	238350	04/10/1999	12/31/2006
601927197	999990	01/22/1999	OPEN
601921899	451120	01/01/1999	02/28/2009
601938306	541711	04/15/1999	12/31/2009
601922787	623311	null	11/30/2011
601943110	999990	null	OPEN
601957512	238110	04/15/1999	05/20/2003
601935994	238320	05/01/1999	OPEN
601920236	235110	01/01/1999	04/09/2005
601944301	453110	04/01/1999	01/02/2003
601940483	443142	03/18/1999	11/30/1999
601943703	517911	06/01/2000	OPEN
601926439	424990	01/20/1999	07/31/2003
601922358	561730	01/04/1999	12/31/2002
601939345	999990	03/15/1999	OPEN
601934269	238910	02/22/1999	07/31/2008
601936237	424460	03/01/1999	OPEN
601940317	null	null	OPEN
601919268	327332	01/01/1999	OPEN
601925659	621210	01/04/1999	OPEN
601927625	443142	02/01/1999	05/10/2000
601951142	999990	null	OPEN
601920816	999990	12/23/1998	OPEN
601943555	541330	03/30/1999	OPEN
601941546	445220	03/23/1999	12/31/1999
601956196	541370	null	12/31/2001
601926197	311511	null	OPEN
601945726	531120	01/01/2002	12/16/2005
601928998	423310	01/29/1999	07/31/2011
601922262	531210	12/01/1998	OPEN
601956554	722511	null	01/31/2011
601942618	999990	04/02/1999	OPEN
601949770	999990	04/23/1999	OPEN
601921232	811118	02/01/1999	OPEN
601931674	999990	01/31/1999	12/31/1999
601937804	531110	03/01/2002	03/01/2002
601930914	999990	02/04/1999	OPEN
601923913	null	null	OPEN
601938866	511210	null	OPEN
601922272	541519	01/01/1999	OPEN
601940861	522292	07/01/1999	OPEN
601928520	999990	01/28/1999	OPEN
601934943	999990	02/23/1999	OPEN
601936431	null	null	OPEN
601923915	453998	01/01/1999	09/30/2010
601955118	null	null	OPEN
601933657	999990	03/05/1931	OPEN
601932121	999990	02/11/1999	OPEN
601920599	453998	01/11/1999	12/30/2000
601923742	null	null	OPEN
601941363	999990	06/01/1999	06/01/1999
601955895	999990	05/21/1999	OPEN
601957759	null	null	OPEN
601951192	452990	null	OPEN
601945405	238990	03/31/1999	06/30/2013
601928018	238160	01/01/1999	OPEN
601930937	424490	02/05/1999	OPEN
601925708	713990	06/01/2001	OPEN
601957975	541191	07/01/1999	05/30/2012
601935563	531390	03/01/1999	OPEN
601936563	541921	03/03/1999	01/31/2001
601922721	311230	12/31/1998	OPEN
601930986	611699	02/05/1999	OPEN
601932873	531390	02/01/1999	04/30/2001
601922416	453998	01/01/1999	09/30/2007
601943225	812990	04/01/1999	12/31/1999
601953727	531130	null	OPEN
601957635	999990	05/15/1999	05/15/1999
601941785	999990	null	OPEN
601941658	999990	03/23/1999	OPEN
601928989	561110	01/01/2000	OPEN
601933454	null	null	OPEN
601950820	722515	07/01/1999	01/30/2004
601946718	999990	null	OPEN
601945080	238990	05/01/1999	06/30/2005
601919599	339999	12/17/1998	OPEN
601922591	424490	null	03/31/2000
601942359	423320	02/01/1999	OPEN
601951471	451110	05/03/1999	10/28/2011
601941990	999990	02/19/1999	OPEN
601956887	999990	05/25/1999	OPEN
601920892	811111	03/30/1999	12/31/1999
601954069	443142	05/01/1999	12/31/1999
601939301	999990	03/15/1999	06/30/1999
601922811	999990	01/04/1999	OPEN
601918880	238220	01/04/1999	09/13/2002
601949261	999990	04/22/1999	OPEN
601933660	238990	02/18/1999	12/31/2010
601920455	511110	01/01/1999	12/31/2007
601921569	999990	12/28/1998	OPEN
601923881	441120	01/01/1999	01/31/2008
601957510	531311	06/01/1999	12/31/1999
601952272	541611	null	OPEN
601924731	238210	01/01/1999	OPEN
601939251	999990	03/12/1999	OPEN
601930997	561499	02/08/1999	OPEN
601945218	453998	null	06/30/2002
601946053	531210	04/09/1999	03/31/2009
601924461	999990	01/11/1999	01/11/1999
601953077	999990	06/01/1999	09/22/1999
601931013	999990	02/05/1999	OPEN
601926209	541613	01/19/1999	12/31/2005
601927719	423690	01/01/1999	OPEN
601924908	541219	01/01/1999	OPEN
601947114	999990	04/13/1999	OPEN
601925324	999990	null	OPEN
601954219	null	null	OPEN
601943340	236115	null	OPEN
601919154	561990	12/28/1998	11/01/2006
601951916	999990	05/04/1999	OPEN
601920241	999990	12/21/1998	OPEN
601936342	441310	03/01/1999	OPEN
601951347	999990	null	OPEN
601950449	238220	04/19/1999	12/31/2001
601954714	null	null	OPEN
601947500	999990	04/15/1999	OPEN
601922205	999990	12/31/1998	OPEN
601951304	999990	04/28/1999	OPEN
601926005	999990	01/07/1999	OPEN
601925384	999990	01/05/1999	OPEN
601943343	561499	null	OPEN
