UBI	NAICS	OPEN DATE	CLOSE DATE
578084692	999990	04/10/1968	null
600155040	238210	null	null
600090193	722511	01/01/1973	OPEN
178077210	454310	null	04/30/1991
409013854	999990	null	null
600081442	448120	null	null
600138420	453220	07/01/1974	OPEN
179013816	327390	null	OPEN
600044279	446130	null	null
212002469	443142	null	07/31/1998
409011051	423840	null	OPEN
409018284	446199	01/01/1992	12/31/2003
600175090	531311	04/01/1975	02/28/1999
600095967	445110	null	OPEN
600150567	null	null	null
600155713	999990	04/01/1975	null
600031718	711510	null	OPEN
409002809	424910	null	OPEN
328056426	524210	07/01/1969	OPEN
578037415	445110	null	02/16/2006
600084659	713950	null	OPEN
600142092	561510	null	null
578086794	999990	null	12/31/1993
278039348	337110	null	OPEN
600142893	447110	03/01/2013	OPEN
409006575	424690	null	OPEN
600066381	561720	null	06/30/2009
578065402	236220	null	05/31/2001
600142117	621210	null	12/31/2008
600109310	424130	null	12/31/2003
409011111	423810	03/18/1991	OPEN
600165423	484121	07/01/1975	06/30/2011
600152529	null	null	06/30/2000
242000617	321918	null	null
409021612	333514	null	12/31/2003
600163125	713910	null	OPEN
328053732	454310	07/01/1967	07/01/1988
600068633	423610	01/01/1971	OPEN
600074418	999990	null	09/01/1985
409011908	424490	null	null
600099349	624190	null	12/31/1996
600109912	236115	01/01/1973	12/31/2008
600158936	452910	04/01/1975	11/08/2002
254000564	812220	null	OPEN
600102848	813211	06/10/1971	null
397008708	424480	null	06/30/2000
600081225	336320	10/01/2007	12/31/2010
278021315	237310	null	OPEN
397009411	424120	null	null
600137095	null	07/01/1974	OPEN
179023800	null	null	OPEN
600018133	null	02/01/1970	OPEN
278001098	524210	null	OPEN
178071682	484210	null	12/31/2011
600141423	621210	09/21/1974	null
600155806	524210	01/01/1975	OPEN
397015472	423830	null	OPEN
600163560	334413	null	12/31/2012
600088369	999990	null	null
600094590	999990	null	null
600043096	532291	null	OPEN
178097427	444190	null	null
600162428	423830	null	null
600061047	813410	null	OPEN
278049095	424950	null	03/31/2002
181011086	424940	null	null
313013945	null	08/01/2012	OPEN
600041169	311612	null	OPEN
600150682	541330	null	OPEN
600139624	531320	null	08/01/2002
397019376	423910	05/17/1965	07/30/2006
600107744	null	null	null
