UBI	NAICS	OPEN DATE	CLOSE DATE
601502703	813110	09/08/2008	OPEN
601501210	236115	05/20/1994	OPEN
601543108	445299	05/01/1994	OPEN
601493273	999990	11/29/1979	OPEN
601488997	999990	09/09/1960	OPEN
601484664	999990	07/26/1993	12/31/2006
601506307	522298	11/01/1999	OPEN
601536562	999990	01/01/1994	OPEN
601540352	238350	05/01/1994	OPEN
601538510	531390	06/01/1994	12/31/1999
601517662	321113	null	03/31/1999
601540922	517210	04/01/1994	02/25/2013
601508769	999990	11/29/1993	OPEN
601526357	326199	01/01/1994	12/31/2009
601502398	531311	11/24/1993	12/31/1996
601499185	624410	09/01/1993	02/28/1995
601538713	424610	04/15/1994	12/31/1998
601518201	999990	12/30/1993	OPEN
601509680	531210	01/03/1994	OPEN
601510113	999990	12/06/1993	12/31/2006
601492527	999990	08/26/1985	OPEN
601510767	541940	12/16/1993	07/28/1997
601529515	541512	null	null
601490873	561740	null	12/31/2004
601525150	484110	02/17/1994	12/31/1998
601511595	999990	12/22/1993	OPEN
601511285	722410	null	12/31/2008
601500106	999990	10/20/1993	OPEN
601516487	236118	01/13/1994	OPEN
601507173	424990	01/01/1995	OPEN
601500054	999990	10/20/1993	OPEN
601529722	999990	null	OPEN
601511889	423460	null	01/31/1999
601542173	721211	04/01/1994	OPEN
601533206	454113	04/01/1994	09/30/2001
601499892	541330	06/19/1995	07/31/2009
601540205	454390	06/01/2011	OPEN
601528639	813410	02/15/1994	OPEN
601493093	999990	09/20/1993	OPEN
601521898	451110	01/21/1994	10/31/2003
601491716	561440	null	OPEN
601497386	999990	10/08/1993	OPEN
601534734	485320	10/01/1998	null
601502603	999990	11/02/1993	OPEN
601489968	541511	09/03/1993	12/31/1995
601503959	447110	10/01/2012	OPEN
601498932	999990	10/15/1993	OPEN
601535876	999990	03/15/1994	OPEN
601536435	332812	04/20/1994	OPEN
601494415	453998	07/01/1993	OPEN
601495418	811191	10/01/1993	03/17/2004
601519676	621111	01/27/1994	12/31/2000
601487492	999990	08/24/1993	OPEN
601515036	999990	12/16/1993	OPEN
601514980	999990	01/07/1994	OPEN
601495854	445120	10/03/1996	12/31/1998
601519953	441110	03/01/1994	12/31/2009
601512701	999990	12/28/1993	OPEN
601501487	561499	null	OPEN
601537708	999990	03/18/1994	OPEN
601501250	532292	10/22/1993	12/31/1998
601519506	531210	05/01/1994	OPEN
601484948	722511	10/30/1993	OPEN
601505798	722511	01/06/1994	OPEN
601534464	null	null	OPEN
601543157	722511	null	OPEN
601527274	561110	09/01/2009	12/31/2011
601511140	238220	11/16/1993	null
601517860	999990	01/21/1994	OPEN
601539941	237110	04/01/1994	OPEN
601508050	999990	null	OPEN
601493312	999990	09/21/1993	OPEN
601527619	233210	01/01/1994	04/09/2005
601512738	451211	06/01/1996	06/01/1996
601498268	423930	10/13/1993	OPEN
601490741	713940	06/15/1994	OPEN
601505466	999990	11/16/1993	OPEN
601541227	441228	null	OPEN
601533664	null	null	OPEN
601487741	487210	10/21/1998	12/31/1998
601537318	236115	04/08/1994	04/09/2005
601540974	237130	04/01/1994	12/31/2007
601542254	999990	04/26/1994	OPEN
601512665	999990	12/28/1993	OPEN
601526047	722511	07/01/1996	04/30/2001
601520023	999990	09/15/1997	OPEN
601509536	339116	01/01/1994	OPEN
601510003	238210	08/01/2009	OPEN
601515074	561730	01/01/1994	12/31/1996
601516946	999990	12/27/1993	OPEN
601488520	999990	08/18/1993	OPEN
601527242	238310	01/01/1994	12/31/2003
601543215	531110	null	OPEN
601509190	522310	01/03/1994	OPEN
601510153	522292	10/01/1993	OPEN
601491429	525110	10/01/2012	OPEN
601507210	999990	null	OPEN
601532944	999990	03/22/1994	12/31/2006
601518712	238910	07/01/1993	OPEN
601496446	238320	10/01/1993	12/31/1997
601508837	531210	07/01/1997	12/31/1999
601531417	999990	04/01/1994	12/31/2006
601531106	624310	02/05/1994	12/31/2006
601490883	999990	null	OPEN
601524219	999990	03/16/1994	12/31/2006
601508908	447110	04/01/2006	OPEN
601513159	424480	05/15/1997	03/31/1999
601504129	813410	11/02/1993	OPEN
601520572	813211	01/13/1994	OPEN
601510731	444190	01/01/1994	12/31/2000
601536710	621310	04/05/1994	OPEN
601533725	999990	03/24/1994	OPEN
601516248	561311	09/01/1996	OPEN
601521908	522292	02/01/1994	01/31/1998
601514386	999990	12/15/1993	OPEN
601511593	236220	01/01/1994	OPEN
601530132	236115	01/01/2000	OPEN
601491241	713990	10/07/1993	12/31/2007
601500125	541330	10/19/1993	12/31/2006
601516069	541710	01/04/1994	12/31/2006
601518932	334510	01/01/1994	02/28/2001
601492915	442110	09/20/1993	OPEN
601522276	541613	null	OPEN
601525763	null	null	OPEN
601492028	999990	null	OPEN
601513094	999990	12/29/1993	OPEN
601526914	999990	01/18/1994	01/18/1994
601532142	null	null	OPEN
601542256	238210	05/01/1994	09/30/2012
601500065	221310	10/20/1993	10/20/1993
601515617	999990	01/11/1994	12/31/2006
601506138	453998	07/15/1993	OPEN
601511572	113310	01/01/1994	07/30/2009
601484049	null	11/19/1982	OPEN
