UBI	NAICS	OPEN DATE	CLOSE DATE
601232299	999990	null	OPEN
601249526	999990	05/07/1990	OPEN
601269019	237310	09/01/1990	12/31/2006
601202256	441222	09/14/1989	OPEN
601190749	999990	null	OPEN
601255184	523910	06/12/1990	OPEN
601203816	238210	10/01/1989	08/25/1998
601199690	813211	09/01/1989	12/31/1991
601217859	null	12/13/1989	OPEN
601263550	541310	10/15/1990	OPEN
601236443	541330	05/01/1990	OPEN
601198966	561499	null	OPEN
601234621	541211	null	OPEN
601193448	541519	06/01/1989	07/31/2003
601257498	423850	08/01/1990	05/31/1997
601242927	453220	01/01/1991	05/31/2006
601192000	541110	07/01/1989	OPEN
601211815	999990	null	08/10/1990
601225893	323111	01/09/1990	01/31/1999
601221637	561320	02/01/1990	12/24/2010
601263249	448150	07/16/1990	OPEN
601231037	541690	null	07/30/1999
601254900	999990	null	OPEN
601256129	483212	07/15/1990	OPEN
601191188	541350	07/10/1989	12/31/2007
601201086	711130	07/01/2007	OPEN
601210841	454390	02/01/1990	OPEN
601189950	423440	null	09/30/1990
601256776	561330	07/01/1990	05/31/1997
601258838	236115	04/11/1995	04/09/2005
601267632	999990	08/02/1990	08/02/1990
601219033	999990	12/21/1989	OPEN
601208863	713290	01/01/1990	10/31/2003
601255188	531210	07/01/1990	09/30/1997
601201393	811121	10/01/1989	03/31/2001
601196484	311411	null	null
601266588	999990	08/10/1990	OPEN
601218229	624310	01/01/1990	12/31/2006
601208423	339999	10/01/1997	06/01/1999
601196298	null	null	OPEN
601203322	999990	09/22/1989	OPEN
601218210	331523	01/01/1990	12/08/1998
601268446	337110	09/01/1990	03/31/2000
601202739	541219	null	null
601209049	721211	11/01/1989	12/31/1989
601270165	561510	08/27/1990	OPEN
601245750	722511	08/01/1990	OPEN
601219757	425120	01/01/1990	OPEN
601204340	999990	09/27/1989	OPEN
601225570	236115	02/01/1990	OPEN
601265353	811219	11/01/1990	10/31/2004
601234408	999990	03/01/1992	06/10/2013
601240578	999990	04/13/1990	03/31/1991
601224420	999990	02/27/1990	null
601210634	null	11/01/1989	OPEN
601194831	523930	01/11/1993	OPEN
601220527	999990	01/02/1990	OPEN
