UBI	NAICS	OPEN DATE	CLOSE DATE
601566670	236115	08/25/1994	OPEN
601566906	541611	08/18/1994	OPEN
601550544	339950	07/22/1994	12/31/1997
601547823	238160	05/16/1994	OPEN
601545835	999990	05/12/1994	OPEN
601552700	454111	06/14/1994	02/28/1998
601546032	333249	01/19/1995	OPEN
601573582	541611	09/20/1994	OPEN
601573059	541110	10/01/1994	OPEN
601555751	453220	10/01/1994	OPEN
601562275	999990	07/29/1994	OPEN
601551238	236118	null	12/31/1999
601549150	238910	05/25/1994	03/31/2008
601568745	531320	10/17/1994	06/30/2011
601564063	999990	07/28/1994	OPEN
601552607	999990	null	OPEN
601572925	454113	09/15/1994	12/31/2004
601543836	453998	05/04/1994	OPEN
601573186	722515	null	09/30/2001
601562388	999990	07/29/1994	OPEN
601572893	713990	08/31/1994	OPEN
601551459	null	null	OPEN
601543361	999990	null	OPEN
601555907	114111	06/30/1994	OPEN
601547685	441310	05/18/1994	12/31/1999
601568912	null	null	OPEN
601558205	722513	08/01/1994	02/28/2002
601571181	238910	null	OPEN
601552398	null	null	OPEN
601558134	237210	07/11/1994	10/19/1998
601543558	423450	04/25/1994	OPEN
601573604	454113	07/01/1994	OPEN
601559949	711510	09/01/1994	OPEN
601556199	444220	07/01/1994	08/31/1997
601548570	999990	null	OPEN
601563853	999990	07/27/1994	OPEN
601573956	453220	09/21/1994	OPEN
601575329	423910	09/09/1994	OPEN
601557436	441310	11/14/1994	10/31/2000
601550851	443142	06/06/1994	12/31/2006
601548506	541519	07/01/1994	01/01/1996
601574611	999990	09/23/1994	OPEN
601562018	517911	08/15/1994	09/30/2000
601574891	999990	10/15/1995	OPEN
601557238	999990	07/06/1994	OPEN
601551811	null	null	OPEN
601564106	999990	null	OPEN
601561290	423440	08/01/1994	OPEN
601544263	null	null	OPEN
601565607	541611	null	12/31/1996
601564522	423940	08/12/1994	OPEN
601558436	null	null	OPEN
601571184	238220	09/08/1994	06/30/2008
601559011	531320	06/28/1994	09/30/2012
601556422	null	null	OPEN
601563475	541330	01/01/1995	10/31/2006
601562999	424990	08/05/1994	12/31/2002
601573086	541613	09/06/1994	06/30/1999
601551079	999990	05/28/1994	06/30/1995
601549363	999990	05/16/1994	OPEN
601571668	621210	10/01/1994	OPEN
601554588	811112	06/27/1994	04/23/2001
601556877	null	null	OPEN
601566514	711110	08/27/1994	12/31/2007
601560967	999990	null	OPEN
601574729	541330	null	OPEN
601555548	999990	null	OPEN
601553024	722515	01/02/1997	05/27/1998
601549241	423610	09/01/1994	03/31/2004
601548867	999990	05/26/1994	OPEN
601557456	424470	07/08/1994	09/30/2001
601556735	999990	06/20/1994	OPEN
601558478	null	null	OPEN
601564430	999990	07/28/1994	OPEN
601545840	561730	07/01/1994	06/30/2002
601569616	238350	03/01/2006	01/31/2009
601565070	999990	08/10/1994	OPEN
601572380	722410	09/01/1994	OPEN
601571704	333618	06/01/1994	OPEN
601574474	561990	04/15/1994	12/31/1998
601549114	null	null	OPEN
601570463	447110	09/26/1994	12/23/1997
601551608	524210	05/10/1994	OPEN
601554869	999990	06/24/1994	OPEN
601546670	311811	05/05/1994	OPEN
601570231	722511	01/01/1995	06/30/2006
601572388	236115	null	OPEN
601562245	238910	07/29/1994	09/30/2008
601550316	561421	06/06/1994	12/31/2011
601556206	326199	02/01/1995	OPEN
601545202	446110	04/01/1994	OPEN
601550657	611430	06/01/1994	12/31/1997
601545562	611110	null	OPEN
601549115	238910	07/01/1994	OPEN
601561495	484110	01/01/1994	OPEN
601566972	999990	08/01/1994	OPEN
601558751	221210	06/22/1994	09/30/1998
601553999	541110	null	OPEN
601559984	999990	07/19/1994	OPEN
601562569	238130	08/01/1994	05/01/2000
601562625	999990	07/29/1994	OPEN
601568228	999990	09/01/1994	03/31/1995
601566331	999990	08/17/1994	OPEN
601567965	999990	null	OPEN
601564204	238210	08/12/1994	02/25/2013
601569259	811111	09/01/1994	OPEN
601558627	238160	11/01/2012	OPEN
601571700	999990	09/12/1994	OPEN
601571132	541519	null	06/30/1997
601568290	323111	10/01/1994	04/01/2002
601543545	999990	05/03/1994	OPEN
601552100	236115	07/01/1994	12/31/1999
601550239	999990	null	OPEN
601546374	524210	05/13/1994	12/31/2001
601544411	238160	08/01/1994	OPEN
601566912	999990	08/19/1994	OPEN
601569216	999990	08/30/1994	OPEN
601559985	999990	07/19/1994	OPEN
601567330	453998	null	null
601545714	451110	02/01/1995	10/30/2004
601563977	722511	09/08/1994	12/31/1995
601569699	999990	09/01/1994	OPEN
601564472	114111	11/01/2010	OPEN
601561872	999990	07/14/1994	OPEN
601573107	999990	09/16/1994	10/31/2000
601568018	999990	08/23/1994	12/31/1998
601559326	424990	08/08/1994	12/31/2006
601560818	999990	07/07/1994	OPEN
601547702	443141	05/20/1994	03/08/2009
601546556	531210	06/01/1994	OPEN
601572465	238130	10/01/1994	04/30/2006
601567767	null	null	OPEN
601564022	999990	10/01/1995	10/01/1995
601575382	237210	10/01/1994	09/30/1999
601560752	453930	10/01/1994	10/31/1998
601546509	236118	05/16/1994	OPEN
601545426	448150	05/10/1994	09/01/2005
601549355	999990	05/31/1994	OPEN
601557132	null	null	OPEN
601543278	453998	03/01/1996	OPEN
601549983	238340	04/01/1997	12/31/2011
601556210	999990	06/17/1994	OPEN
601560753	561499	07/11/1994	OPEN
601560028	722511	09/01/1994	OPEN
601553910	332439	07/01/1994	04/01/2011
601570275	999990	08/19/1994	08/19/1994
601544950	522310	05/11/1994	OPEN
601572734	999990	09/19/1994	OPEN
601547098	562991	05/11/1994	OPEN
601566016	531210	03/01/2011	OPEN
601565283	811412	08/16/1994	12/31/1997
601565552	999990	08/15/1994	OPEN
601567232	541219	12/01/1994	OPEN
601551218	423910	06/07/1994	09/14/2007
601552988	null	null	OPEN
601560917	561440	01/01/1995	OPEN
601545867	446130	null	null
601561392	447110	02/01/1995	01/29/2003
601570177	541810	09/06/1994	12/31/1999
601561514	null	null	OPEN
601545114	999990	05/10/1994	OPEN
601566619	423690	10/04/1994	OPEN
601569770	561439	10/03/1994	OPEN
601544268	624210	08/06/2008	OPEN
601564679	null	null	OPEN
601553559	811198	null	12/31/2001
601556948	999990	07/06/1994	OPEN
601564928	999990	08/11/1994	OPEN
601552519	233210	08/01/1994	04/09/2005
601558729	237110	11/15/1999	OPEN
601559310	441310	01/01/1995	OPEN
601547129	812922	05/20/1994	03/31/2004
601554842	541990	11/01/2003	OPEN
601543717	332710	05/04/1994	08/20/2003
601553983	611519	null	12/31/1999
601566624	443142	08/22/1994	06/26/1997
601569160	999990	08/17/1994	OPEN
601564195	561320	null	OPEN
601549212	561730	06/15/1994	12/31/2001
601574127	561440	08/01/1997	OPEN
601552536	454390	08/01/1996	08/01/1996
601565694	999990	04/01/1994	12/31/1996
601556299	453310	06/16/1994	OPEN
601575507	541330	12/01/2008	OPEN
601561750	999990	07/27/1994	OPEN
