UBI	NAICS	OPEN DATE	CLOSE DATE
601607447	233210	02/22/1995	09/30/1995
601601262	424420	01/31/1995	08/31/2000
601605310	999990	11/20/1986	OPEN
601616433	813410	01/01/2011	OPEN
601607278	999990	02/21/1995	OPEN
601600281	999990	10/05/1973	OPEN
601618743	561740	null	null
601596365	999990	10/10/1984	OPEN
601616302	541512	03/24/1995	12/31/2012
601615688	999990	09/13/1995	OPEN
601598715	999990	null	OPEN
601610168	999990	12/02/1959	OPEN
601599668	722511	03/01/1995	05/09/2007
601607364	null	null	OPEN
601604647	323111	02/10/1995	12/29/2006
601615900	444110	04/01/1995	05/31/2001
601601313	484121	01/30/1995	OPEN
601612464	312120	03/08/1995	OPEN
601607190	238210	01/01/2012	OPEN
601602965	531312	01/18/1995	01/01/2001
601617657	999990	11/09/1995	OPEN
601610882	561499	05/01/1995	09/26/2000
601618041	541611	04/01/1995	09/30/1998
601598421	999990	null	OPEN
601616256	999990	01/18/1995	OPEN
601610911	424990	01/01/1995	12/31/2008
601608570	999990	12/08/1978	OPEN
601600993	453310	03/01/1999	12/31/2004
601597459	999990	null	OPEN
601600364	999990	01/20/1995	OPEN
601619318	813410	12/31/1985	OPEN
601600840	722515	02/01/2003	03/05/2007
601614656	561499	03/20/1995	12/31/2009
601605506	524210	02/13/1995	02/05/2001
601610716	541820	01/01/1995	09/01/1999
601598071	999990	12/04/1956	OPEN
601612721	null	null	OPEN
601619115	722513	05/15/1995	06/30/2000
601603355	999990	02/03/1995	OPEN
601608671	999990	02/27/1995	OPEN
601613321	999990	null	OPEN
601602872	999990	02/01/1995	OPEN
601614014	443142	04/01/1995	06/14/2001
601612439	443142	01/06/1995	09/15/1999
601613994	813410	01/01/2010	OPEN
601611017	524298	null	OPEN
601612886	722513	03/01/1997	12/05/2003
601606301	999990	02/15/1995	12/31/2006
601609006	713990	03/01/1995	12/31/2002
601602022	111335	02/01/1995	OPEN
601618399	999990	01/16/1984	OPEN
601600430	999990	01/01/1995	OPEN
601601321	561720	01/10/1995	OPEN
601612139	621111	12/01/1995	OPEN
601617794	999990	03/30/1995	OPEN
601600715	524298	01/01/1995	OPEN
601615409	453998	01/01/1998	OPEN
601596616	541330	01/09/1994	OPEN
601601324	999990	12/19/1967	OPEN
601610615	999990	12/12/1983	OPEN
601601407	813110	01/01/2003	OPEN
601602916	999990	04/01/1995	OPEN
601601587	541330	01/11/1995	OPEN
601614816	null	null	OPEN
601617228	999990	03/28/1995	05/24/2005
601604878	111421	01/30/1995	OPEN
601599012	541330	07/01/1999	OPEN
601617999	311991	07/15/1995	03/15/1998
601619436	541350	04/05/1995	OPEN
601611773	531390	null	OPEN
601616357	238990	09/01/1995	12/31/2010
601613653	523930	11/18/1996	OPEN
601596910	999990	01/09/1995	OPEN
601612136	null	null	null
601613338	421830	04/01/1995	04/01/1995
601604458	238990	02/08/1995	OPEN
601601424	453998	09/09/2010	09/09/2010
601598222	238330	02/01/1995	04/30/2012
601610579	541211	01/01/1995	12/31/2008
601606591	522110	09/01/1996	01/23/2010
601596251	722511	04/01/1995	11/30/1999
601600267	999990	null	OPEN
601599487	541611	05/15/1999	01/10/2001
601612563	541618	null	12/31/2010
601608364	114111	01/02/1995	OPEN
601603788	999990	02/03/1995	OPEN
601611495	722513	null	04/15/1998
601596244	999990	11/16/1981	OPEN
601616945	238910	05/01/1995	12/31/2009
601608161	999990	02/15/1995	12/31/2006
601616744	811211	null	OPEN
601616392	null	null	OPEN
601613901	721110	04/01/1995	OPEN
601602926	541611	01/20/1995	OPEN
601617961	812990	03/04/1995	10/31/2004
601609836	112111	12/23/1994	OPEN
601596010	999990	10/27/1967	OPEN
601601372	531210	02/20/1995	12/31/2010
601615630	512110	02/06/1995	06/30/1998
601597766	531390	01/10/1995	OPEN
601609148	213114	02/27/1995	09/30/2003
601618311	561730	null	12/31/2006
601607044	999990	02/17/1995	OPEN
601619400	999990	04/05/1995	OPEN
601595989	423850	02/01/1995	OPEN
601610611	512110	04/01/1995	02/28/2011
601612879	522298	06/01/1995	12/31/1997
601614425	453998	null	OPEN
601614631	233210	04/18/1995	06/30/1996
601603676	999990	12/02/1948	OPEN
601605945	541330	04/04/1995	OPEN
601612685	487990	08/01/1995	12/31/1998
601597350	541110	01/01/1995	OPEN
601597882	541613	null	OPEN
601605828	453920	03/01/1995	03/31/1997
601598114	999990	01/12/1995	OPEN
601601611	999990	12/08/1994	OPEN
601612958	999990	03/01/1996	OPEN
601610560	999990	12/30/1994	OPEN
601600090	541611	01/01/1995	OPEN
601598109	999990	null	OPEN
601613030	722511	05/01/1995	05/31/2000
601612158	423840	null	OPEN
601610869	518210	03/06/1995	12/31/2005
601611475	337110	03/08/1995	null
601614440	561510	01/01/1995	OPEN
601614494	null	null	OPEN
601612505	813410	01/21/1990	12/31/2012
601599833	999990	10/04/1984	OPEN
601596593	813410	10/23/1990	OPEN
