UBI	NAICS	OPEN DATE	CLOSE DATE
602013627	492210	10/01/2000	OPEN
602020409	813990	03/01/2000	OPEN
602016105	999990	02/22/2000	OPEN
602007997	813990	11/01/2006	OPEN
602019978	561499	08/01/1999	10/01/2001
602000562	999990	12/21/1999	OPEN
602004159	531312	01/01/2000	OPEN
602018171	999990	03/03/2000	OPEN
601998754	541512	01/01/2000	03/31/2001
601995079	999990	11/23/1999	OPEN
601997759	999990	12/08/1999	OPEN
602010560	541820	02/01/2000	11/09/2005
602019045	999990	03/06/2000	OPEN
601991578	999990	10/07/1999	OPEN
602012409	999990	02/08/2000	OPEN
602005431	541410	01/01/2000	12/31/2005
601995104	999990	10/29/1999	OPEN
602017928	999990	03/02/2000	OPEN
602004545	999990	11/29/1999	OPEN
602019656	561499	06/01/2000	OPEN
602005937	999990	null	OPEN
601991119	541614	null	12/31/2010
602001029	999990	12/21/1999	OPEN
602012027	621399	02/01/2000	12/31/2000
601995716	999990	null	OPEN
601996957	999990	12/06/1999	OPEN
601992772	999990	11/12/1999	OPEN
602001551	999990	null	OPEN
602005879	561720	01/01/2000	01/01/2010
601997028	999990	null	OPEN
601995662	999990	11/29/1999	OPEN
602005852	812990	04/01/2000	12/31/2002
601999072	561499	07/01/1999	OPEN
602002340	811412	12/01/1999	OPEN
602007581	453998	01/24/2000	12/31/2003
602012449	551114	01/01/2010	OPEN
602012069	442291	02/01/2000	OPEN
602022060	999990	03/17/2000	OPEN
602011898	null	null	OPEN
602021314	999990	03/16/2000	OPEN
601992243	443142	11/01/1999	OPEN
601991501	424590	11/01/1999	01/08/2003
602012316	999990	02/08/2000	OPEN
602011229	811192	01/03/2001	01/03/2001
602021521	999990	02/15/2000	OPEN
601993693	null	11/17/1999	OPEN
601993076	999990	11/15/1999	OPEN
602023034	999990	02/17/1930	OPEN
601991507	999990	11/03/1999	OPEN
602008018	999990	null	OPEN
602010175	221121	09/01/2000	12/31/2003
602004108	999990	01/06/2000	OPEN
601993277	524210	11/01/1999	08/02/2001
601994319	999990	11/19/1999	OPEN
602002901	541519	01/01/2000	OPEN
602018056	999990	03/03/2000	OPEN
602015277	541618	02/01/2000	12/31/2011
602022203	999990	03/16/2000	OPEN
601995301	999990	11/24/1999	OPEN
602013870	561499	01/01/2000	OPEN
602015040	999990	02/22/2000	OPEN
602001018	339999	01/01/2000	09/30/2001
