UBI	NAICS	OPEN DATE	CLOSE DATE
601474607	null	null	OPEN
601476419	323111	07/01/1993	10/10/1997
601431449	811118	12/14/1992	05/03/2004
601437901	999990	01/04/1993	OPEN
601438674	238350	01/01/1994	03/31/2011
601459897	813110	09/01/1993	OPEN
601463113	524126	11/01/1993	09/30/2007
601425029	812112	01/01/1993	OPEN
601479795	238220	07/01/1993	OPEN
601432641	999990	12/11/1992	OPEN
601430080	811122	12/07/1992	09/30/2002
601478275	448310	07/01/1993	12/31/2009
601471610	999990	06/09/1993	OPEN
601432974	424110	01/01/1993	OPEN
601480717	621111	null	08/31/1997
601470356	999990	06/04/1993	OPEN
601439582	999990	01/13/1983	OPEN
601458786	999990	null	OPEN
601432840	511120	01/01/1993	01/15/1999
601433501	522390	05/19/1997	10/06/2006
601434274	999990	12/03/1986	OPEN
601433674	487210	01/01/1993	03/22/1999
601459549	441120	04/01/1993	OPEN
601445971	null	null	OPEN
601456131	236115	10/29/1999	OPEN
601454918	541870	null	12/31/2008
601460976	999990	04/23/1984	OPEN
601466965	113310	05/10/1993	12/31/1997
601453375	null	null	OPEN
601482678	423330	03/01/1994	OPEN
601462158	721110	12/17/2003	OPEN
601478929	null	null	OPEN
601466884	424990	05/05/1993	12/31/1999
601452467	999990	03/03/1993	OPEN
601439496	999990	null	OPEN
601459357	999990	04/04/1977	OPEN
601429961	531110	03/14/1996	03/14/1996
601456009	999990	03/15/1993	OPEN
601449404	722410	05/01/1993	08/31/2003
601457811	999990	null	OPEN
601456128	999990	null	OPEN
601456361	561510	03/16/1993	OPEN
601448792	611699	03/04/1993	06/30/2011
601482433	454390	08/01/1993	OPEN
601478961	999990	09/01/1993	OPEN
601462842	236115	04/19/1993	OPEN
601472020	561730	09/20/1993	OPEN
601431845	531210	01/01/1993	12/31/1999
601457529	999990	03/22/1993	OPEN
601463031	999990	04/30/1993	OPEN
601425271	453998	11/30/2012	null
601476513	532412	null	null
601435437	423830	null	OPEN
601451833	424490	03/16/1993	12/31/2009
601457946	999990	04/09/1993	OPEN
601466307	236118	05/14/1993	12/31/2006
601475853	null	null	OPEN
601468159	999990	01/01/1997	OPEN
601431179	999990	12/11/1992	OPEN
601475215	999990	06/25/1993	OPEN
601461423	999990	null	OPEN
601463769	722310	05/20/1993	OPEN
601455448	238350	null	OPEN
601461302	null	null	OPEN
601441445	624310	01/20/1993	08/05/2002
601455632	813940	01/01/2000	OPEN
601472241	541350	06/17/1993	OPEN
601441346	999990	02/01/1993	OPEN
601424158	541618	06/08/2004	02/25/2013
601459214	813410	05/22/1993	OPEN
601472360	115310	07/09/1993	12/31/2001
601463535	452990	05/28/1993	12/31/1996
601436801	238390	02/01/1993	OPEN
601436429	999990	12/28/1992	04/09/2005
601479530	999990	07/16/1993	OPEN
601434816	722410	null	07/17/2001
601473548	561622	07/01/1993	12/17/2002
601462103	711219	05/18/1993	12/31/2002
601424922	999990	08/01/1986	12/31/1995
601428672	441310	12/01/1992	12/31/2009
601465702	451110	01/01/1993	OPEN
601443866	999990	02/01/1993	OPEN
601469541	561510	06/24/1996	OPEN
601455839	999990	04/01/1993	OPEN
601435193	531390	null	OPEN
601467263	561499	05/05/1993	11/30/2001
601455047	561440	07/10/2001	06/30/2003
601436590	441110	02/01/1993	null
601424763	561440	03/21/1995	OPEN
601436701	236115	01/12/1993	02/28/1998
601424562	null	null	OPEN
601460187	999990	null	OPEN
601451482	621399	01/01/1993	06/15/2009
601442403	999990	02/04/1993	OPEN
601465285	237130	04/01/1993	09/15/2006
601455117	722410	05/15/1993	07/31/2001
601424983	999990	null	OPEN
601434139	812112	01/01/1993	OPEN
601483402	541511	04/01/2000	OPEN
601439769	999990	null	OPEN
601473600	813990	07/01/1999	OPEN
601477208	null	null	OPEN
601463610	561611	01/01/1993	01/31/2000
601443402	541330	03/01/1993	OPEN
601457714	541219	01/01/1993	OPEN
601482747	999990	07/22/1985	OPEN
601475579	999990	06/28/1993	OPEN
601481925	541611	null	null
601437907	999990	01/04/1993	OPEN
601431783	999990	12/16/1992	OPEN
601471894	424460	06/11/1993	OPEN
601466073	999990	05/12/1967	OPEN
601469626	541611	null	OPEN
601478653	999990	06/23/1993	OPEN
601453901	311412	04/01/1993	OPEN
601459432	999990	05/20/1993	06/30/1995
601474454	451211	null	12/31/2008
601442659	999990	null	OPEN
601481231	722513	10/01/1993	06/29/1995
601429024	488390	01/01/1993	OPEN
601445578	423120	null	12/31/1997
601426352	null	11/13/1992	OPEN
601478661	238210	07/14/1993	04/09/2005
601423927	423810	11/02/1992	OPEN
601431615	423690	01/01/1993	10/31/2001
601434204	424990	01/01/1993	12/31/2000
601459390	999990	04/04/1979	OPEN
601453193	238350	04/01/1993	09/30/1996
601477347	522298	06/28/1993	12/31/1999
601442990	512131	03/01/1993	08/31/2001
601446586	561730	null	12/31/2008
601469384	454111	07/01/1993	OPEN
601456567	611710	null	03/31/1998
601423933	812910	10/01/1998	02/02/2010
601475705	812921	null	06/30/2001
601474476	624310	07/01/1993	OPEN
601477403	561990	07/10/1993	12/31/1995
601464549	454210	05/06/1993	OPEN
601450367	541110	02/01/1993	05/31/2010
601459374	999990	04/05/1976	OPEN
601452852	443142	null	null
601460544	561440	null	OPEN
601482160	423120	08/01/1993	12/31/2011
601437885	488390	01/01/2001	OPEN
601427270	999990	11/17/1992	OPEN
601481866	541519	05/01/1993	11/30/2008
601478486	null	null	OPEN
601450700	999990	03/10/1993	OPEN
601434910	561510	null	null
601429978	713910	01/01/1993	01/30/1998
601424761	999990	11/09/1992	OPEN
601462883	453998	null	OPEN
601430203	531210	01/01/1993	09/30/1994
601423470	999990	06/16/1980	OPEN
601482894	813110	09/01/2007	OPEN
601433113	444220	01/04/1993	11/30/1996
601450653	424490	02/26/1993	OPEN
601452704	999990	03/04/1993	OPEN
601474012	999990	08/01/1993	OPEN
601482099	999990	07/30/1976	OPEN
601479982	424210	04/01/1993	OPEN
601432595	999990	12/21/1992	OPEN
601464432	423830	05/06/1993	12/31/2003
601461041	531210	10/01/1996	02/25/2013
601483164	999990	07/14/1970	OPEN
601482077	721110	null	null
601471305	999990	08/02/1971	OPEN
601476315	423310	08/01/1993	06/30/1999
601429751	null	null	OPEN
601429901	448110	01/01/1993	01/31/2003
601478582	541211	null	OPEN
601430990	812990	01/01/2002	OPEN
601468762	999990	05/18/1967	OPEN
601447212	561110	null	OPEN
601462421	561790	08/14/1985	08/14/1985
601458821	113310	04/14/1993	OPEN
601429364	999990	11/03/1976	OPEN
601435293	null	null	OPEN
601431403	551112	12/01/1992	OPEN
601478490	999990	null	OPEN
601475553	238350	null	OPEN
601478366	453310	03/01/1999	null
601438886	522390	06/01/1992	null
601461338	null	null	OPEN
601431701	236115	01/01/1993	12/31/2008
601465780	522310	04/16/1994	03/31/2001
601471729	722511	07/01/1993	OPEN
601449801	999990	02/24/1993	OPEN
601433334	621111	01/01/1993	OPEN
601480818	532111	08/01/1993	08/01/1993
601452155	524210	null	07/31/2001
601427504	811310	01/01/1993	11/30/2011
601426014	999990	07/24/1909	OPEN
601460987	445299	05/01/1993	OPEN
601468102	453310	07/08/1993	12/31/2005
601449989	561431	04/20/1993	12/01/2011
601466018	446199	05/17/1993	05/27/1993
601481293	624190	10/01/1996	OPEN
601427104	236115	11/19/1992	null
601433542	424120	01/04/1993	06/30/2010
601460295	236118	04/28/1993	OPEN
601432140	999990	12/16/1992	OPEN
601454849	null	null	OPEN
601481307	999990	09/23/1993	OPEN
601480945	999990	06/01/1993	12/31/1993
601468529	999990	06/22/1993	09/30/1993
601477439	722410	09/01/1993	03/31/1999
601466891	null	null	OPEN
601444115	999990	02/02/1993	OPEN
601424227	561110	null	OPEN
601467282	541512	null	12/31/2002
601478138	445299	07/01/2002	03/01/2003
601479191	999990	null	OPEN
601423972	442210	01/01/1993	OPEN
601451022	999990	03/20/1907	OPEN
601455617	331513	01/04/1993	12/31/1997
601438839	722513	02/01/1993	05/31/1997
601468851	999990	05/27/1993	OPEN
601458305	541490	04/11/1993	08/01/2005
601434881	722513	null	06/30/1994
601467231	531210	01/01/2004	12/31/2004
601437078	443142	01/01/1993	12/31/2002
601425023	541710	null	09/26/2001
601443993	114111	03/19/1993	OPEN
601473224	238910	01/01/1994	OPEN
601456861	541511	04/01/1993	OPEN
601441644	561499	null	OPEN
601430479	999990	12/12/1979	OPEN
601439777	332710	01/26/1993	OPEN
601463747	722511	06/01/1993	12/31/1997
601478142	512110	null	OPEN
601469709	453310	06/07/1993	OPEN
601433910	445299	12/16/1992	OPEN
601431799	423430	04/01/1993	12/31/2007
601482680	522298	null	OPEN
601460554	999990	05/01/1993	OPEN
601429617	null	null	OPEN
601479383	531210	null	OPEN
601430877	323111	01/02/1993	OPEN
601432323	999990	12/10/1992	OPEN
601444405	541611	02/01/1993	12/31/2000
601475415	113310	07/01/1993	12/31/2002
601483719	448130	08/20/1993	04/15/2008
601432388	441210	01/01/1993	OPEN
601436040	445220	01/01/1994	OPEN
601452284	999990	03/17/1993	OPEN
601483554	517911	null	OPEN
601449536	null	null	OPEN
601459454	null	null	OPEN
601466718	999990	05/14/1993	06/14/2004
601478985	713930	09/01/1993	03/09/2001
601477059	541519	08/01/1993	OPEN
601447128	115210	01/01/1997	OPEN
601482271	999990	07/01/1993	08/31/1994
601435553	441310	01/01/1993	OPEN
601433808	236115	01/01/1993	04/09/2005
601455472	512199	01/01/2003	12/31/2009
601467807	531390	05/21/1993	OPEN
601454194	236115	03/25/1993	OPEN
601429938	999990	03/24/1983	03/24/1983
601441005	525910	03/11/1994	OPEN
601475039	722513	06/01/1993	OPEN
601478725	813110	null	OPEN
601465641	999990	04/29/1993	OPEN
601430215	999990	02/01/1999	09/29/1999
601429431	561510	11/01/1992	OPEN
601441791	423930	03/01/1993	null
601473791	236220	05/10/1993	OPEN
601455125	236115	04/01/1993	12/31/2011
601471253	424990	01/01/1993	OPEN
601435032	112990	04/01/1997	12/31/2002
601428975	621340	01/01/1993	OPEN
601483512	541370	07/01/1993	03/31/1998
601458445	712110	03/20/1993	OPEN
601468813	541330	06/01/1993	OPEN
601457243	238110	03/19/1993	10/31/1997
601434863	621111	01/01/1993	OPEN
601435664	null	12/24/1992	OPEN
601449091	337110	04/01/1993	10/29/2004
601428685	444190	12/02/1998	12/31/2007
601464849	999990	null	OPEN
601455267	999990	03/11/1993	OPEN
601444837	999990	02/24/1986	OPEN
601452217	null	null	OPEN
601463809	999990	04/23/1993	OPEN
601450311	443142	03/10/1993	03/31/1999
601463077	621210	01/01/2006	OPEN
601442660	999990	01/01/1993	OPEN
601425160	999990	11/10/1992	OPEN
601438599	115112	07/01/1993	12/31/2001
601474644	999990	06/23/1993	OPEN
601475200	999990	06/25/1993	OPEN
601440215	423810	02/01/1993	OPEN
601468559	561499	null	null
601449025	999990	03/03/1993	OPEN
601456085	813110	03/15/1993	06/30/1995
601426021	999990	11/12/1992	OPEN
601480956	999990	04/11/1997	04/11/1997
601483325	448190	01/01/1993	12/31/2003
601482602	999990	07/13/1993	OPEN
601456319	312120	03/15/1994	07/20/1997
601457826	523930	10/01/1993	12/31/2003
601479056	999990	06/25/1993	OPEN
601438863	999990	01/21/1993	OPEN
601472028	999990	06/10/1993	OPEN
601471210	532412	07/01/1993	05/31/2008
601433242	999990	12/23/1992	OPEN
601464915	999990	null	OPEN
601431880	326199	10/01/1992	OPEN
601426159	999990	11/12/1992	OPEN
601433087	999990	12/15/1992	OPEN
601455447	238310	null	04/09/2005
601470285	444220	07/01/1993	OPEN
601464061	999990	05/05/1993	OPEN
601460838	621320	01/01/1993	12/31/2008
601446828	446199	03/26/1993	OPEN
601475569	323120	07/27/1993	OPEN
601469507	null	null	OPEN
601464195	541330	null	OPEN
601430390	999990	12/21/1977	OPEN
601442564	713940	04/01/1993	OPEN
601478964	999990	07/01/1993	12/31/1993
601446274	null	null	OPEN
601440608	722410	04/01/1993	10/09/1994
601467376	524210	08/10/1993	OPEN
601441317	512290	01/21/1993	OPEN
601424826	424120	10/08/1992	07/31/1994
601479170	999990	07/15/1993	OPEN
601477396	999990	08/12/1993	09/16/2009
601462907	541430	04/29/1993	12/31/2006
601456125	524298	04/01/1993	OPEN
601432418	233210	02/01/1993	02/01/1993
601439318	238210	01/01/1993	12/31/1999
601438468	null	null	OPEN
601466420	541211	05/01/1993	OPEN
601476662	null	null	OPEN
601435474	621210	02/01/1993	OPEN
601463171	238220	05/03/1993	OPEN
601437625	812990	01/14/1993	OPEN
601427206	999990	05/19/1983	05/19/1983
601439168	999990	01/08/1993	OPEN
601483395	487990	06/01/2008	06/01/2008
601457752	null	null	OPEN
601481901	999990	07/08/1993	OPEN
601457739	813219	03/22/1993	12/31/2009
601428255	null	11/23/1992	OPEN
601427556	999990	11/18/1992	OPEN
601445960	999990	02/11/1993	OPEN
601460887	999990	04/22/1993	04/22/1993
601457479	999990	04/07/1993	OPEN
601438809	441310	04/01/1993	12/31/1995
601431205	722515	01/01/2003	OPEN
601441203	522291	02/01/1993	12/31/2011
601435596	541110	null	null
601423493	999990	12/04/1972	OPEN
601436524	453310	01/01/1993	06/30/2009
601463416	238210	07/01/1993	OPEN
601424752	999990	04/11/1984	04/11/1994
601432822	621111	07/01/1994	OPEN
601431846	311824	null	null
601434051	621111	01/01/1993	12/31/2008
601439674	443142	null	OPEN
601426668	999990	01/20/1983	OPEN
601454428	722514	01/15/1995	06/30/2007
601464124	541613	null	OPEN
601434889	541330	12/17/1992	OPEN
601432033	238170	01/01/1993	06/25/2002
601467120	233210	07/02/1993	04/09/2005
601462886	454390	05/10/1993	OPEN
601469158	327212	06/01/1993	OPEN
601434093	454390	12/29/1992	OPEN
601457849	541360	null	OPEN
601423761	621210	01/01/1994	OPEN
601449911	null	12/30/1974	OPEN
601438509	541410	01/20/1993	09/06/2002
601467713	453998	06/15/1993	09/30/1999
601435355	522220	01/01/1993	OPEN
601467543	999990	01/01/2007	01/01/2007
601427387	null	null	OPEN
601427543	999990	11/19/1992	OPEN
601482335	541211	null	12/31/2002
601479314	423830	08/31/1993	12/31/2010
601438915	999990	01/01/1993	03/31/1993
601472910	233210	07/10/1993	07/31/1994
601460613	722511	03/04/1999	OPEN
601479204	999990	06/25/1993	OPEN
601428570	624410	12/01/1992	OPEN
601476560	999990	07/01/1959	OPEN
601429011	236115	11/20/1992	12/31/2011
601481418	813110	07/27/1993	OPEN
601441240	541110	02/01/1993	07/01/2006
601470166	999990	06/03/1993	OPEN
601478628	null	null	OPEN
601454166	423720	03/22/1993	12/31/1996
601477853	541310	null	OPEN
601457816	999990	03/25/1993	OPEN
601430556	999990	03/30/1984	OPEN
601445258	null	null	OPEN
601457535	524210	null	OPEN
601433084	236118	01/23/1993	11/30/1998
601430994	999990	12/19/1983	OPEN
601460049	811490	01/01/1993	12/31/2005
601477304	null	null	OPEN
601475046	722513	06/01/1993	OPEN
601477647	null	null	OPEN
601423726	999990	07/11/1986	OPEN
601428712	531110	11/01/1992	OPEN
601470805	624410	07/01/1993	12/31/1997
601443838	null	null	OPEN
601434219	541720	null	OPEN
601426377	999990	11/18/1992	OPEN
601483911	999990	08/09/1993	OPEN
601469377	238160	06/01/1993	02/28/2002
601427875	null	null	OPEN
601461823	541330	null	OPEN
601469538	722511	03/01/1994	02/02/1995
601433504	999990	12/15/1992	12/15/1992
601482851	722410	09/01/1993	06/18/1998
601432780	424460	null	06/30/2001
601443041	236115	04/01/1993	OPEN
601454147	561510	04/01/1993	12/31/2006
601424312	999990	null	OPEN
601426672	423620	01/01/1993	OPEN
601471697	541611	06/10/1993	OPEN
601436767	562991	null	OPEN
601432476	238910	01/01/1993	OPEN
601426008	999990	02/09/1981	OPEN
601451501	334513	06/01/1993	OPEN
601437815	454390	01/01/1993	12/31/1998
601474166	999990	06/22/1993	OPEN
601461032	531210	04/22/1993	OPEN
601433395	523930	null	12/31/2011
601449109	812990	02/22/1993	12/31/1997
601427905	114111	01/01/1993	12/31/2010
601424573	null	null	OPEN
601470512	531120	06/04/1993	OPEN
601444389	541211	02/08/1993	12/31/2012
601425920	451212	09/11/1992	12/31/2001
601436106	999990	01/07/1993	OPEN
601457754	522390	null	OPEN
601483485	423810	08/19/1993	02/28/1997
601478136	541921	08/01/1993	09/30/1995
601451015	532120	03/01/2005	06/01/2009
601442125	null	null	OPEN
601471582	999990	null	OPEN
601448422	421510	05/01/1993	03/31/1994
601481829	541110	08/01/1993	12/31/2002
601425525	999990	11/12/1992	OPEN
601445008	999990	02/08/1993	OPEN
601444665	238110	02/16/1993	12/31/1997
601464261	236220	07/01/1993	03/31/2004
601451600	999990	12/20/1982	OPEN
601436546	811310	01/02/1993	OPEN
601445450	541219	01/01/1993	12/31/2011
601474894	999990	06/24/1993	OPEN
601483116	453998	null	OPEN
601472504	423910	06/14/1993	OPEN
601452072	447110	11/01/1996	06/30/2005
601463811	null	null	OPEN
601478936	531210	null	OPEN
601456441	541611	04/01/1993	06/30/1996
601475270	621111	08/01/1993	OPEN
601471181	541614	07/01/1993	OPEN
601425843	541512	11/13/1992	10/30/2006
601460256	238330	04/12/1993	OPEN
601432584	541618	null	07/31/1999
601444011	999990	02/09/1993	OPEN
601465950	524210	05/13/1993	OPEN
601473757	811111	10/05/1994	06/30/1996
601435357	453998	null	null
601447814	448190	06/01/2000	OPEN
601466972	531210	null	06/18/2008
601475779	null	null	OPEN
601483288	722511	06/29/1993	10/31/2005
601441861	423830	02/15/1993	OPEN
601423479	531110	12/01/2006	OPEN
601455068	713990	04/15/1993	12/31/2008
601459436	541850	05/01/1993	OPEN
601439190	332710	02/02/1993	04/09/2002
