UBI	NAICS	OPEN DATE	CLOSE DATE
601385159	999990	04/17/1992	OPEN
601407580	999990	08/14/1981	OPEN
601377522	null	null	OPEN
601359176	621999	01/01/1992	OPEN
601352318	238210	01/01/1992	OPEN
601405174	238110	08/01/1992	12/16/1999
601393471	484110	06/05/1992	OPEN
601386143	541511	03/01/1993	OPEN
601422044	999990	null	OPEN
601370443	999990	02/24/1992	OPEN
601379527	443142	05/01/1992	06/30/1999
601371970	236115	07/01/1992	08/31/2000
601366168	541613	02/01/1992	OPEN
601405880	453930	10/29/1993	12/31/2006
601380541	541512	01/01/1993	OPEN
601412111	722511	11/01/2005	03/31/2006
601383075	999990	04/10/1992	OPEN
601356339	541380	null	OPEN
601382622	424720	04/14/1992	OPEN
601412512	441222	null	OPEN
601384855	515111	04/16/1992	12/09/1998
601353572	621340	11/21/1991	OPEN
601369775	null	null	OPEN
601415961	541690	null	null
601421472	999990	null	OPEN
601398753	999990	10/01/1995	OPEN
601371952	813910	null	03/31/1992
601375665	999990	03/09/1992	OPEN
601363865	722511	null	03/12/1998
601405520	999990	05/18/1970	OPEN
601382131	238220	null	OPEN
601395614	999990	06/16/1992	OPEN
601377369	722513	null	09/30/1997
601379254	423430	04/15/1992	03/31/2001
601360239	541110	01/01/1992	OPEN
601376288	441120	null	08/31/1998
601354833	114111	12/04/1991	12/31/1995
601419619	999990	null	OPEN
601395994	524210	null	OPEN
601414516	null	null	OPEN
601389242	999990	05/11/1992	OPEN
601366415	238990	10/01/1992	OPEN
601394901	999990	06/11/1992	OPEN
601369805	541214	01/01/1992	OPEN
601356380	441120	01/01/1992	OPEN
601401295	448210	08/01/1992	06/15/1999
601396908	311920	10/01/2011	OPEN
601411147	999990	08/01/1992	12/31/1995
601398664	454390	08/01/1992	11/19/2010
601371511	484121	null	12/31/2007
601351865	999990	11/12/1991	OPEN
601421767	999990	10/23/1992	OPEN
601372805	424490	03/11/1992	OPEN
601416071	326160	11/01/1992	OPEN
601359156	533110	01/01/2000	OPEN
601407509	999990	08/11/1992	OPEN
601382929	441222	05/01/1992	OPEN
601358996	336991	null	08/31/1999
601402230	541310	06/30/1992	OPEN
601369630	541110	08/01/1992	12/31/2006
601360293	421310	07/01/1992	03/31/1994
601388425	999990	05/12/1992	OPEN
601384695	null	null	OPEN
601378178	999990	03/25/1992	03/31/1992
601379827	531210	10/01/1992	03/01/1998
601396490	999990	06/19/1992	OPEN
601420660	722410	04/01/1996	04/01/1996
601421042	811111	11/01/1992	OPEN
601352783	999990	12/04/1991	null
601407213	561730	09/01/1992	03/31/2009
601416106	999990	09/28/1992	OPEN
601393270	721191	03/01/1996	01/08/2010
601354186	999990	12/02/1991	OPEN
601414581	null	null	OPEN
601391662	722511	09/01/1992	OPEN
601367092	321999	02/01/1992	12/31/2000
601371632	423730	01/14/1992	OPEN
601417216	424460	10/01/1992	10/31/2001
601387975	999990	05/01/1992	OPEN
601400377	999990	null	OPEN
601361105	422210	null	null
601358119	112990	12/19/1991	OPEN
601397642	541219	07/01/1992	06/30/2012
601352470	551112	11/18/1991	12/31/1993
601375337	541614	null	OPEN
601352223	561510	07/01/1995	OPEN
601359313	212319	01/01/1992	OPEN
601412143	721211	01/01/1996	OPEN
601369250	999990	02/14/1992	OPEN
601387071	999990	01/01/2001	01/01/2001
601401483	238160	01/04/1993	OPEN
601357861	424430	01/01/1992	10/31/1997
601383228	236115	null	07/31/2009
601363394	999990	01/13/1992	OPEN
601419254	522291	01/01/2006	OPEN
601415777	236115	10/01/1992	OPEN
601413839	238220	03/07/1994	OPEN
601411139	561499	12/22/1998	OPEN
601358994	541110	12/15/1991	02/28/2002
601369625	451120	02/28/1992	12/31/1998
601406824	999990	10/11/1955	OPEN
601419436	621210	11/01/1992	12/31/2007
601406592	323111	04/01/1996	12/31/2011
601417977	713950	02/01/1993	01/27/2010
601408979	541330	09/01/1992	12/31/2002
601376873	999990	03/13/1992	OPEN
601405485	999990	null	OPEN
601368439	711110	03/15/1992	06/30/1996
601355722	621210	12/01/1991	OPEN
601420739	531312	06/01/2010	OPEN
601383794	331523	null	07/14/2005
