UBI	NAICS	OPEN DATE	CLOSE DATE
601830598	454390	11/29/2003	null
601866506	null	null	OPEN
601882046	561510	06/10/1998	12/31/2007
601876032	541613	05/14/1998	12/31/2000
601835658	238990	null	02/28/1999
601849397	999990	null	OPEN
601852904	442210	03/02/1998	OPEN
601841087	484121	12/29/1997	01/15/2009
601870217	441310	05/01/1998	10/31/2006
601834869	541611	null	OPEN
601841827	541490	null	OPEN
601841173	561720	12/29/1997	null
601874208	999990	05/06/1998	05/06/1998
601848700	999990	03/30/1998	03/31/1998
601867330	999990	03/26/1998	12/31/1998
601866762	null	null	OPEN
601878239	999990	05/26/1998	OPEN
601851233	999990	01/30/1998	01/30/1998
601833508	999990	11/17/1997	OPEN
601841012	541940	01/01/1998	OPEN
601862375	541519	01/01/1998	OPEN
601843676	447190	01/08/1998	OPEN
601852750	999990	02/04/1998	OPEN
601863082	339112	03/01/1998	08/01/2000
601833551	238320	12/01/1997	12/31/2002
601845911	524210	null	OPEN
601840031	811412	01/02/1998	07/01/2001
601845146	621111	02/01/1998	12/31/2012
601873185	null	null	null
601847505	811111	02/01/1998	OPEN
601834416	999990	11/24/1997	12/31/1998
601831251	999990	10/27/1997	OPEN
601853937	null	null	OPEN
601839800	999990	null	OPEN
601830038	999990	09/26/1986	OPEN
601880593	999990	06/04/1998	OPEN
601841071	999990	12/29/1997	OPEN
601848666	999990	01/27/1998	OPEN
601855902	999990	03/23/1979	OPEN
601868286	623312	04/09/1998	12/31/2012
601865936	999990	03/31/1998	03/31/1998
601868596	999990	04/13/1998	OPEN
601838854	541110	null	OPEN
601851732	238210	01/01/1998	OPEN
601837052	421450	12/19/1997	09/30/2001
601855309	541410	02/24/1998	12/31/2004
601868476	238220	04/24/1998	06/30/2001
601850353	451110	07/23/1999	02/28/2001
601880407	451211	07/01/1998	OPEN
601839181	999990	12/17/1998	12/17/1998
601858526	811111	04/05/1998	01/31/2007
601855358	331210	01/14/1998	05/01/2005
601866029	611110	05/10/1998	OPEN
601863872	453998	03/25/1998	OPEN
601848603	444190	04/01/1998	OPEN
601878770	null	null	OPEN
601864026	999990	02/16/1984	OPEN
601866001	null	null	OPEN
601860679	611310	03/12/1998	04/16/2008
601836794	null	null	OPEN
601871506	999990	04/22/1998	OPEN
601831578	452990	01/01/1998	03/31/2000
601830683	424320	11/01/1997	12/31/2004
601871348	111331	04/23/1998	08/29/2008
601835540	null	null	OPEN
601878776	541618	05/29/1998	09/30/2000
601849108	999990	01/28/1998	OPEN
601873824	999990	05/01/1998	OPEN
601880767	999990	null	OPEN
601851078	811490	01/20/1998	12/31/2008
601869661	999990	04/16/1998	OPEN
601864894	531130	03/30/1998	OPEN
601856571	551112	03/01/1998	OPEN
